ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Database,Pathway,Direction
0.9309936459434429,3.2465817454449506,0.0,0.0,0.0,29/36,5.14%,ABCD3;ABCC5;CFTR;ABCC6;ABCC12;ABCC8;ABCC3;ABCC2;ABCC10;ABCC4;ABCC1;ABCC9;ABCC11;ABCA10;ABCA6;ABCA8;ABCA13;ABCA12;ABCA7;ABCA3;ABCA9;ABCA4;ABCA2;ABCG4;ABCG2;ABCG1;ABCG8;ABCA5;ABCA1,KEGG_2021_Human,ABC transporters,Upregulated
0.9599294874059684,3.0261022184561615,0.0,0.0,0.0,14/23,0.17%,POR;CYP4F11;CYP4Z1;CYP4F8;CYP4F2;CYP4A22;CYP4V2;CYP4X1;CYP4F3;CYP4F12;CYP4B1;CYP4A11;CYP19A1;CYP4F22,WikiPathways_2024_Human,Oxidation By Cytochrome P450 WP43,Upregulated
0.8414483520748335,2.9310430097283975,0.0,0.0,0.0,24/37,3.01%,CYP4F11;CYP4Z1;CYP4F8;CYP4F2;CYP4A22;CYP4F3;CYP4F12;CYP4A11;ABCD3;AWAT1;ABHD6;SLC27A3;ACSL6;SLC27A2;SLC27A4;ACSL1;ACSL4;SLC27A5;ACSL3;SLC27A6;SLC27A1;ACSBG1;ACSBG2;CPT2,GO_Biological_Process_2025,Long-Chain Fatty Acid Metabolic Process (GO:0001676),Upregulated
0.9066043351519602,2.853979060493301,0.0,0.0,0.0,12/24,1.69%,CYP4F11;CYP4F8;CYP4F2;CYP4A22;CYP4V2;CYP4F3;CYP4F12;CYP4B1;CYP4A11;CYP19A1;CYP4F22;ARNT2,Reactome_2022,Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,Upregulated
0.8116174815202998,2.6734044548780873,0.0,0.0,0.0,20/31,2.49%,SLC16A1;SLC16A9;SLC16A7;SLC16A4;SLC16A11;SLC16A8;SLC16A5;SLC16A13;SLC16A14;SLC16A6;SLC16A3;SLC16A2;MPC1;SLC5A6;SLC27A4;SLC27A6;SLC27A1;ABCG2;SLC5A12;SLC5A8,GO_Molecular_Function_2025,Monocarboxylic Acid Transmembrane Transporter Activity (GO:0008028),Upregulated
0.8371329798577934,2.6411523542253974,0.0,0.0,0.0,12/24,1.29%,CYP4F11;CYP4Z1;CYP4F8;CYP4F2;CYP4A22;CYP4F3;CYP4F12;CYP4A11;CYP4F22;AWAT1;ABHD6;ABCC10,GO_Biological_Process_2025,Icosanoid Metabolic Process (GO:0006690),Upregulated
0.627000488451319,2.625498641770306,0.0,0.0,0.0,23/87,2.23%,ABCD3;ABCC5;CFTR;ABCC6;ABCC3;ABCC2;ABCC10;ABCC4;ABCC1;ABCC9;ABCC11;ABCA10;ABCA6;ABCA8;ABCA12;ABCA7;ABCA3;ABCA9;ABCA4;ABCA2;ABCG4;ABCG1;ABCG8,Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,Upregulated
0.6981565096440747,2.590853275318482,0.0,0.0,0.0,15/50,1.69%,CYP4F11;CYP4F8;CYP4F2;CYP4A22;CYP4V2;CYP4F3;CYP4F12;CYP4B1;CYP4A11;CYP19A1;CYP4F22;CES1;CES3;CES2;ARNT2,Reactome_2022,Phase I - Functionalization Of Compounds R-HSA-211945,Upregulated
0.9161738403110453,2.536708016842569,0.0,0.0,0.0,11/15,4.09%,ASGR1;CLEC4G;ASGR2;CLEC4M;CD207;CLEC4A;CLEC4D;CD209;CLEC6A;CLEC17A;CLEC10A,GO_Molecular_Function_2025,D-mannose Binding (GO:0005537),Upregulated
0.9132858789016172,2.5210914406497156,0.0,0.0,0.0,12/16,4.51%,ABCD3;ABCA10;ABCA6;ABCA12;ABCA7;ABCA3;ABCA9;ABCA2;ABCG4;ABCG1;ABCG8;ABCA5,Reactome_2022,ABC Transporters In Lipid Homeostasis R-HSA-1369062,Upregulated
