Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2021_Human__ABC transporters,0.9314446583699992,3.221714144331464,0.0,0.0,0.0,29/35,5.25%,ABCD3;ABCC3;ABCC6;ABCC12;ABCC2;ABCC11;ABCC10;ABCC1;ABCC9;CFTR;ABCC5;ABCC4;ABCC8;ABCA12;ABCA8;ABCA9;ABCA4;ABCA13;ABCA2;ABCA3;ABCA6;ABCA10;ABCA7;ABCG8;ABCG2;ABCG4;ABCG1;ABCA5;ABCA1
prerank,Reactome_2022__Glucuronidation R-HSA-156588,-0.9675022639122715,-3.0376383165390872,0.0,0.0,0.0,21/23,1.50%,UGT1A4;UGT1A5;UGT2B10;UGT2B7;UGT2B4;UGT2B15;UGT2A3;UGT2A1;UGT1A9;UGT1A8;UGT2B17;UGT2A2;UGT1A1;UGT3A2;UGT1A6;UGT2B28;UGT2B11;UGT1A7;UGT1A3;UGT1A10;UGT3A1
prerank,KEGG_2021_Human__Pentose and glucuronate interconversions,-0.8731298734118637,-3.010617968791146,0.0,0.0,0.0,24/33,4.27%,UGT1A4;UGT1A5;UGT2B10;UGT2B7;UGT2B4;UGT2B15;UGT2A3;UGT2A1;UGT1A9;UGT1A8;UGT2B17;UGT2A2;UGT1A1;UGT1A6;UGT2B28;UGT2B11;UGT1A7;UGT1A3;UGT1A10;DHDH;AKR1B1;KL;SORD;GUSB
prerank,GO_Biological_Process_2025__Long-Chain Fatty Acid Metabolic Process (GO:0001676),0.8689613751063432,2.9885037060459636,0.0,0.0,0.0,25/36,3.05%,CYP4Z1;CYP4A11;CYP4F2;CYP4F8;CYP4A22;CYP4F3;CYP4F12;CYP4F11;ABCD3;AWAT1;ABHD6;CPT1A;SLC27A2;SLC27A4;ACSL3;ACSL6;ACSL1;SLC27A1;SLC27A3;ACSBG1;ACSL4;SLC27A5;SLC27A6;ACSBG2;CPT2
prerank,WikiPathways_2024_Human__Glucuronidation WP698,-0.9193265168768687,-2.9790840061051655,0.0,0.0,0.0,20/26,2.06%,UGT1A4;UGT1A5;UGT2B10;UGT2B7;UGT2B4;UGT2B15;UGT2A3;UGT2A1;UGT1A9;UGT1A8;UGT2B17;UGT2A2;UGT1A1;UGT1A6;UGT2B28;UGT2B11;UGT1A7;UGT1A3;UGT1A10;HK1
prerank,WikiPathways_2024_Human__Oxidation By Cytochrome P450 WP43,0.967458634529081,2.9730437035537336,0.0,0.0,0.0,15/23,0.22%,POR;CYP4V2;CYP4Z1;CYP4A11;CYP4F2;CYP4F8;CYP4A22;CYP4B1;CYP4F3;CYP4F12;CYP4F11;CYP4X1;CYP19A1;CYP4F22;CYB5B
prerank,KEGG_2021_Human__Ascorbate and aldarate metabolism,-0.8749951095472078,-2.9406389465876046,0.0,0.0,0.0,24/30,4.27%,UGT1A4;UGT1A5;UGT2B10;UGT2B7;UGT2B4;UGT2B15;UGT2A3;UGT2A1;UGT1A9;UGT1A8;UGT2B17;UGT2A2;UGT1A1;UGT1A6;UGT2B28;UGT2B11;UGT1A7;UGT1A3;UGT1A10;KL;ALDH9A1;ALDH1B1;ALDH3A2;GUSB
prerank,GO_Molecular_Function_2025__Glucuronosyltransferase Activity (GO:0015020),-0.8810527928462599,-2.915704994440667,0.0,0.0,0.0,20/31,1.50%,UGT1A4;UGT2B10;UGT2B7;UGT2B4;UGT2B15;UGT2A3;UGT2A1;UGT1A9;UGT1A8;UGT2B17;UGT2A2;UGT1A1;UGT3A2;UGT1A6;UGT2B28;UGT2B11;UGT1A7;UGT1A3;UGT1A10;UGT3A1
prerank,Reactome_2022__Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,0.9035984395498348,2.8322331801123353,0.0,0.0,0.0,12/25,1.73%,CYP4V2;CYP4A11;CYP4F2;CYP4F8;CYP4A22;CYP4B1;CYP4F3;CYP4F12;CYP4F11;CYP19A1;CYP4F22;ARNT2
prerank,KEGG_2021_Human__Porphyrin and chlorophyll metabolism,-0.7857307012697426,-2.816638487593726,0.0,0.0,0.0,20/38,4.27%,UGT1A4;UGT1A5;UGT2B10;UGT2B7;UGT2B4;UGT2B15;UGT2A3;UGT2A1;UGT1A9;UGT1A8;UGT2B17;UGT2A2;UGT1A1;UGT1A6;UGT2B28;UGT2B11;UGT1A7;UGT1A3;UGT1A10;GUSB
prerank,Reactome_2022__Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393,-0.6831257936771509,-2.7356794114799046,0.0,0.0,0.0,44/69,10.41%,SLC26A11;AHCYL2;SLC24A3;SLC24A4;SLC7A8;SLC7A10;SLC7A5;SLC7A6;SLC7A9;SLC7A7;SLC7A11;SLC7A2;SLC7A3;SLC7A1;SLC17A5;SLC17A6;SLC17A8;SLC17A7;SLC17A1;SLC15A3;SLC3A2;SLC3A1;SLC12A1;SLC12A5;SLC12A6;SLC12A7;SLC12A3;SLC12A4;SLC12A2;SLC9A2;SLC9A1;SLC9A5;SLC9A9;SLC9A4;SLC9A3;SLC36A2;SLC38A1;SLC38A5;SLC36A1;SLC38A3;SLC38A2;SLC38A4;SLC36A4;SLC32A1
prerank,GO_Biological_Process_2025__Organic Cation Transport (GO:0015695),-0.7695021456535731,-2.7274541024879624,0.0,0.0,0.0,26/39,10.41%,SLC22A5;SLC22A16;SLC22A4;SLC22A3;SLC22A2;SLC22A1;CLN3;SLC7A8;SLC7A5;SLC7A6;SLC7A7;SLC7A2;SLC7A3;SLC7A1;SLC3A2;SLC19A2;SLC19A3;SLC36A2;SLC38A5;SLC36A1;SLC38A3;SLC38A2;SLC36A4;SLC36A3;SLC38A9;SLC32A1
prerank,GO_Biological_Process_2025__Neutral Amino Acid Transport (GO:0015804),-0.89175711266538,-2.7178334644129443,0.0,0.0,0.0,21/22,10.41%,SLC7A8;SLC7A10;SLC7A5;SLC7A6;SLC7A9;SLC7A7;SLC7A11;SLC3A2;SLC36A2;SLC38A1;SLC38A5;SLC36A1;SLC38A3;SLC38A2;SLC38A4;SLC36A4;SLC38A6;SLC36A3;SLC38A7;SLC38A9;SLC32A1
prerank,KEGG_2021_Human__Retinol metabolism,-0.7821785769952843,-2.7107512390723096,0.0,0.0,0.0,25/37,4.96%,UGT1A4;UGT1A5;UGT2B10;UGT2B7;UGT2B4;UGT2B15;UGT2A3;UGT2A1;UGT1A9;UGT1A8;UGT2B17;UGT2A2;UGT1A1;UGT1A6;UGT2B28;UGT2B11;UGT1A7;UGT1A3;UGT1A10;RPE65;BCO1;ALDH1A1;ALDH1A2;DHRS4;DHRS4L2
prerank,Reactome_2022__Fatty Acid Metabolism R-HSA-8978868,0.6513023656913345,2.705584951589511,0.0,0.0,0.0,37/89,6.13%,CYP4A11;CYP4F2;CYP4F8;CYP4A22;CYP4B1;CYP4F3;CYP4F11;CYP4F22;AWAT1;ACOX2;HACD1;HACD2;EPHX2;ABCC1;CPT1A;ACADVL;HADHA;SLC27A2;ACSL3;ACSL6;ACSL1;SLC27A3;ACSBG1;ACSL4;ACSBG2;CPT2;HADHB;CROT;ACAA2;ACBD5;ACBD4;NUDT19;ECHS1;ELOVL7;ELOVL1;ECI1;HPGD
prerank,KEGG_2021_Human__Nitrogen metabolism,-0.9593124969920461,-2.701000705864524,0.0,0.0,0.0,12/16,0.26%,CA5B;CA13;CA9;CA14;CA1;CA6;CA3;CA4;CA7;CA8;CA12;CA5A
prerank,GO_Molecular_Function_2025__Sulfuric Ester Hydrolase Activity (GO:0008484),-0.9424354036832687,-2.6951886481720333,0.0,0.0,0.0,14/15,3.10%,SULF1;ARSH;ARSI;ARSA;ARSG;GNS;STS;ARSJ;ARSL;ARSF;SULF2;ARSD;ARSK;GALNS
prerank,GO_Molecular_Function_2025__L-amino Acid Transmembrane Transporter Activity (GO:0015179),-0.7578968561809551,-2.6772585865736893,0.0,0.0,0.0,30/38,10.39%,SLC22A2;SLC7A8;SLC7A10;SLC7A5;SLC7A6;SLC7A9;SLC7A13;SLC7A7;SLC7A11;SLC7A2;SLC7A3;SLC7A1;SLC17A6;SLC17A8;SLC17A7;SLC3A2;SLC3A1;SLC36A2;SLC38A1;SLC38A5;SLC38A8;SLC36A1;SLC38A3;SLC38A2;SLC38A4;SLC36A4;SLC38A6;SLC36A3;SLC38A7;SLC38A9
prerank,GO_Biological_Process_2025__Very Long-Chain Fatty Acid Metabolic Process (GO:0000038),0.8694346933088237,2.6709001859756865,0.0,0.0,0.0,14/21,6.09%,CYP4F2;CYP4F12;ABCD3;ACOX2;HACD1;HACD2;ACSL6;ACSL1;ACSBG1;SLC27A5;SLC27A6;ELOVL7;ELOVL1;PEX2
prerank,GO_Molecular_Function_2025__Monocarboxylic Acid Transmembrane Transporter Activity (GO:0008028),0.8119075611316026,2.654023053335337,0.0,0.0,0.0,20/31,2.54%,SLC16A2;SLC16A7;SLC16A4;SLC16A11;SLC16A3;SLC16A13;SLC16A6;SLC16A8;SLC16A9;SLC16A14;SLC16A1;SLC16A5;MPC1;SLC5A6;SLC27A4;SLC27A1;SLC27A6;ABCG2;SLC5A8;SLC5A12
prerank,Reactome_2022__Glycosphingolipid Metabolism R-HSA-1660662,-0.7740855316844412,-2.651623667775295,0.0,0.0,0.0,19/31,10.04%,UGT8;GBA3;GLB1;GLB1L;ARSH;ARSI;ARSA;ARSB;ARSG;STS;ARSJ;ARSL;ARSF;ARSD;ARSK;HEXB;HEXA;GBA2;ASAH2
prerank,Reactome_2022__Phase I - Functionalization Of Compounds R-HSA-211945,0.7123372534269394,2.6438646539442723,0.0,0.0,0.0,16/51,1.73%,CYP4V2;CYP4A11;CYP4F2;CYP4F8;CYP4A22;CYP4B1;CYP4F3;CYP4F12;CYP4F11;CYP19A1;CYP4F22;CYB5B;CES3;CES1;CES2;ARNT2
prerank,GO_Biological_Process_2025__Icosanoid Metabolic Process (GO:0006690),0.8372380386676218,2.6267962971070995,0.0,0.0,0.0,12/24,1.28%,CYP4Z1;CYP4A11;CYP4F2;CYP4F8;CYP4A22;CYP4F3;CYP4F12;CYP4F11;CYP4F22;AWAT1;ABHD6;ABCC10
prerank,KEGG_2021_Human__PPAR signaling pathway,0.6926342668357339,2.622645343467619,0.0,0.0,0.0,26/52,3.94%,ACOX2;HMGCS1;HMGCS2;PLIN2;PLIN1;PLIN5;PLIN4;CPT1B;CPT1A;CPT1C;SLC27A2;SLC27A4;ACSL3;ACSL6;ACSL1;SLC27A1;ACSBG1;ACSL4;SLC27A5;SLC27A6;ACSBG2;CPT2;CD36;RXRG;PCK2;PCK1
prerank,GO_Molecular_Function_2025__Neutral L-amino Acid Transmembrane Transporter Activity (GO:0015175),-0.8897346941520309,-2.6222944539089053,0.0,0.0,0.0,18/19,10.41%,SLC7A8;SLC7A10;SLC7A5;SLC7A9;SLC3A2;SLC36A2;SLC38A1;SLC38A5;SLC36A1;SLC38A3;SLC38A2;SLC38A4;SLC36A4;SLC38A6;SLC36A3;SLC38A7;SLC38A9;SLC32A1
prerank,GO_Biological_Process_2025__L-amino Acid Transport (GO:0015807),-0.8529783789015413,-2.615407085802151,0.0,0.0,0.0,20/22,10.37%,SLC22A2;SLC7A8;SLC7A5;SLC7A6;SLC7A9;SLC7A7;SLC7A11;SLC7A2;SLC7A1;SLC17A6;SLC17A8;SLC3A2;SLC36A2;SLC38A1;SLC38A5;SLC36A1;SLC38A3;SLC38A2;SLC36A4;SLC36A3
prerank,WikiPathways_2024_Human__PPAR Signaling WP3942,0.7060376045827158,2.609280613853503,0.0,0.0,0.0,23/46,3.94%,CYP4A11;ACOX2;HMGCS2;PLIN1;CPT1B;CPT1A;CPT1C;SLC27A2;SLC27A4;ACSL3;ACSL6;ACSL1;SLC27A1;ACSBG1;ACSL4;SLC27A5;SLC27A6;ACSBG2;CPT2;CD36;RXRG;PCK2;PCK1
prerank,GO_Biological_Process_2025__Negative Regulation of Small Molecule Metabolic Process (GO:0062014),-0.8443642036826959,-2.584006093858679,0.0,0.0,0.0,10/20,3.23%,SLC22A13;UGT1A4;UGT1A9;UGT1A8;UGT1A1;UGT1A6;UGT1A7;UGT1A3;UGT1A10;PGP
