drug,concentration,sex,treatment,group,replicate,filename
CFA,1mM,female,control,FC,1,CFA_1mM_FC_1_ReadsPerGene.out.tab
CFA,1mM,female,control,FC,2,CFA_1mM_FC_2_ReadsPerGene.out.tab
CFA,1mM,female,control,FC,3,CFA_1mM_FC_3_ReadsPerGene.out.tab
CFA,1mM,female,control,FC,4,CFA_1mM_FC_4_ReadsPerGene.out.tab
CFA,1mM,female,treated,FT,1,CFA_1mM_FT_1_ReadsPerGene.out.tab
CFA,1mM,female,treated,FT,2,CFA_1mM_FT_2_ReadsPerGene.out.tab
CFA,1mM,female,treated,FT,3,CFA_1mM_FT_3_ReadsPerGene.out.tab
CFA,1mM,female,treated,FT,4,CFA_1mM_FT_4_ReadsPerGene.out.tab
CFA,1mM,male,control,MC,1,CFA_1mM_MC_1_ReadsPerGene.out.tab
CFA,1mM,male,control,MC,2,CFA_1mM_MC_2_ReadsPerGene.out.tab
CFA,1mM,male,control,MC,3,CFA_1mM_MC_3_ReadsPerGene.out.tab
CFA,1mM,male,control,MC,4,CFA_1mM_MC_4_ReadsPerGene.out.tab
CFA,1mM,male,treated,MT,1,CFA_1mM_MT_1_ReadsPerGene.out.tab
CFA,1mM,male,treated,MT,2,CFA_1mM_MT_2_ReadsPerGene.out.tab
CFA,1mM,male,treated,MT,3,CFA_1mM_MT_3_ReadsPerGene.out.tab
CFA,1mM,male,treated,MT,4,CFA_1mM_MT_4_ReadsPerGene.out.tab
CNR,1mM,female,control,FC,1,CNR_1mM_FC_1_ReadsPerGene.out.tab
CNR,1mM,female,control,FC,2,CNR_1mM_FC_2_ReadsPerGene.out.tab
CNR,1mM,female,control,FC,3,CNR_1mM_FC_3_ReadsPerGene.out.tab
CNR,1mM,female,control,FC,4,CNR_1mM_FC_4_ReadsPerGene.out.tab
CNR,1mM,female,treated,FT,1,CNR_1mM_FT_1_ReadsPerGene.out.tab
CNR,1mM,female,treated,FT,2,CNR_1mM_FT_2_ReadsPerGene.out.tab
CNR,1mM,female,treated,FT,3,CNR_1mM_FT_3_ReadsPerGene.out.tab
CNR,1mM,female,treated,FT,4,CNR_1mM_FT_4_ReadsPerGene.out.tab
CNR,1mM,male,control,MC,1,CNR_1mM_MC_1_ReadsPerGene.out.tab
CNR,1mM,male,control,MC,2,CNR_1mM_MC_2_ReadsPerGene.out.tab
CNR,1mM,male,control,MC,3,CNR_1mM_MC_3_ReadsPerGene.out.tab
CNR,1mM,male,control,MC,4,CNR_1mM_MC_4_ReadsPerGene.out.tab
CNR,1mM,male,treated,MT,1,CNR_1mM_MT_1_ReadsPerGene.out.tab
CNR,1mM,male,treated,MT,2,CNR_1mM_MT_2_ReadsPerGene.out.tab
CNR,1mM,male,treated,MT,3,CNR_1mM_MT_3_ReadsPerGene.out.tab
CNR,1mM,male,treated,MT,4,CNR_1mM_MT_4_ReadsPerGene.out.tab
