name,ortholog_ensg,description,stat,baseMean,LFC_raw,LFC_shrunk,pvalue,padj,mmusculus_genes
TSPAN6,ENSG00000000003,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],0.7625967532213683,174.61875901575894,0.1283171741083265,4.688630405140824e-06,0.4457039214993669,0.9999825715135549,ENSMUSG00000067377
DPM1,ENSG00000000419,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",-1.1624178020900566,246.50370221193572,-0.1388563051444569,-1.1031183906988129e-05,0.2450657955497804,0.9999825715135549,ENSMUSG00000078919
SCYL3,ENSG00000000457,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],-1.2904229139103711,883.1952927487534,-0.1159121602320321,-1.4971941120620087e-05,0.196903860540605,0.9999825715135549,ENSMUSG00000026584
FIRRM,ENSG00000000460,FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565],0.3519114696922817,35.428177178083686,0.1132621190777849,1.1422751773507008e-06,0.7249046571716113,0.9999825715135549,ENSMUSG00000041406
FGR,ENSG00000000938,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",-0.7810608009712612,5041.391609180248,-0.185364833804233,-3.073416381509054e-06,0.4347667354156066,0.9999825715135549,ENSMUSG00000028874
FUCA2,ENSG00000001036,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],-0.3371289927010437,1676.5805446397703,-0.0460603052855386,-2.504749206574648e-06,0.7360196624288772,0.9999825715135549,ENSMUSG00000019810
GCLC,ENSG00000001084,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],2.312913035676573,6707.781531207969,0.2482372763465134,2.3967781544161374e-05,0.0207274209684831,0.9999825715135549,ENSMUSG00000032350
NFYA,ENSG00000001167,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],-0.9136655450831728,1764.0450565448696,-0.1011492110186277,-8.58729393329319e-06,0.3608926138107623,0.9999825715135549,ENSMUSG00000023994
STPG1,ENSG00000001460,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],-0.1266106212074847,44.09430594912136,-0.0374338990141284,-4.4003904901093626e-07,0.8992485900910838,0.9999825715135549,ENSMUSG00000028801
NIPAL3,ENSG00000001461,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],-0.1674933238045306,1538.3066166220765,-0.0378277100367635,3.379951472876739e-07,0.8669819001612364,0.9999825715135549,ENSMUSG00000028803
