ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Database,Pathway,Direction
0.5995596040027328,2.4387067660955606,0.0,0.0,0.0,29/64,16.42%,NDUFA12;NDUFA4;NDUFS8;NDUFA2;COX7B;COX5B;NDUFA10;NDUFB10;NDUFS5;NDUFA5;UQCR10;UQCRB;NDUFA7;COX6C;NDUFA6;NDUFA3;UQCR11;NDUFB3;NDUFS6;NDUFV2;COX7A2;SDHC;NDUFAB1;COX6A2;NDUFC2;NDUFB8;NDUFB7;NDUFB6;NDUFA8,GO_Biological_Process_2025,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),Upregulated
0.6278117668758045,2.41341177573175,0.0,0.0,0.0,28/51,18.04%,NDUFA12;NDUFS8;NDUFA13;NDUFA2;ATP5PD;NDUFA10;NDUFB10;NDUFS5;NDUFA5;NDUFB11;NDUFA7;NDUFA6;NDUFA3;ATP5F1D;NDUFB3;NDUFS6;NDUFV2;ATP5ME;SDHC;NDUFAB1;NDUFC2;NDUFB8;NDUFB7;NDUFB6;ATP5PF;NDUFA8;ATP5PB;NDUFB5,GO_Biological_Process_2025,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),Upregulated
0.5978924761317912,2.4130322218316267,0.0,0.0,0.0,29/63,16.42%,NDUFA4;NDUFS8;NDUFA2;COX7B;COX5B;NDUFA10;NDUFB10;NDUFS5;NDUFA5;UQCR10;UQCRB;NDUFA7;COX6C;NDUFA6;NDUFA3;UQCR11;NDUFB3;NDUFS6;SLC25A51;NDUFV2;COX7A2;SDHC;NDUFAB1;COX6A2;NDUFC2;NDUFB8;NDUFB7;NDUFB6;NDUFA8,GO_Biological_Process_2025,Aerobic Electron Transport Chain (GO:0019646),Upregulated
0.6031794434357812,2.4071909021346594,0.0,0.0,0.0,31/58,18.04%,NDUFA12;NDUFS8;NDUFA13;NDUFA2;ATP5PD;NDUFA10;NDUFB10;NDUFS5;NDUFA5;NDUFB11;UQCRB;NDUFA7;NDUFA6;NDUFA3;ATP5F1D;NDUFB3;NDUFS6;SLC25A51;NDUFV2;ATP5ME;SDHC;NDUFAB1;NDUFC2;NDUFB8;NDUFB7;NDUFB6;ATP5PF;NDUFA8;ATP5PB;CHCHD10;NDUFB5,GO_Biological_Process_2025,Oxidative Phosphorylation (GO:0006119),Upregulated
0.5630123069645318,2.3857477897704626,0.0,0.0,0.0,36/83,16.42%,NDUFA12;NDUFA4;NDUFS8;NDUFA13;NDUFA2;COX7B;COX5B;NDUFA10;MTLN;NDUFB10;NDUFS5;NDUFA5;UQCR10;NDUFB11;UQCRB;NDUFA7;COX6C;NDUFA6;NDUFA3;UQCR11;BLOC1S1;NDUFB3;NDUFS6;NDUFV2;SDHAF4;COX7A2;ETFB;CCNI;SDHC;NDUFAB1;NDUFC2;NDUFB8;NDUFB7;NDUFB6;MTFR2;NDUFA8,GO_Biological_Process_2025,Cellular Respiration (GO:0045333),Upregulated
0.5530036007016825,2.380684815427506,0.0,0.0,0.0,39/88,16.98%,NDUFA12;NDUFA4;NDUFS8;NDUFA13;NDUFA2;COX7B;ATP5PD;COX5B;SLC25A4;NDUFA10;ATP5IF1;NDUFB10;COX7A1;NDUFS5;NDUFA5;UQCR10;UQCRB;NDUFA7;COX6C;NDUFA6;NDUFA3;ATP5F1D;UQCR11;NDUFB3;NDUFS6;NDUFV2;ATP5ME;COX7A2;SDHC;NDUFAB1;COX6A2;NDUFC2;NDUFB8;NDUFB7;NDUFB6;ATP5PF;UCP3;NDUFA8;ATP5PB,WikiPathways_2024_Human,Electron Transport Chain OXPHOS System In Mitochondria WP111,Upregulated
0.6657343884104652,2.3316928341271073,0.0,0.00011350937350469556,0.001,20/33,18.04%,NDUFA4;NDUFS8;NDUFA2;NDUFA10;NDUFB10;NDUFS5;NDUFA5;NDUFA7;NDUFA6;NDUFA3;NDUFB3;NDUFS6;NDUFV2;NDUFAB1;NDUFC2;NDUFB8;NDUFB7;NDUFB6;NDUFA8;NDUFB5,GO_Biological_Process_2025,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",Upregulated
0.5842317422888238,2.3101776751325085,0.0,0.00029796210544982577,0.003,28/57,18.04%,NDUFA12;NDUFS8;NDUFA13;NDUFA2;ATP5PD;NDUFA10;NDUFB10;NDUFS5;NDUFA5;NDUFB11;NDUFA7;NDUFA6;NDUFA3;ATP5F1D;NDUFB3;NDUFS6;NDUFV2;ATP5ME;SDHC;NDUFAB1;NDUFC2;NDUFB8;NDUFB7;NDUFB6;ATP5PF;NDUFA8;ATP5PB;NDUFB5,GO_Biological_Process_2025,Proton Motive Force-Driven ATP Synthesis (GO:0015986),Upregulated
0.5293160078456461,2.2988125781762303,0.0,0.00035314027312571947,0.004,34/88,16.42%,NDUFA12;COX20;NDUFS8;NDUFA13;NDUFA2;COX7B;COX5B;NDUFA10;NDUFB10;NDUFS5;NDUFA5;UQCR10;NDUFB11;UQCRB;NDUFA7;TMEM126B;COX6C;NDUFA6;NDUFA3;UQCR11;COX16;NDUFB3;NDUFS6;NDUFV2;ETFB;CCNI;TMEM186;NDUFAB1;COX14;NDUFC2;NDUFB8;NDUFB7;NDUFB6;NDUFA8,Reactome_2022,Respiratory Electron Transport R-HSA-611105,Upregulated
0.4931178904646663,2.209763226528404,0.0,0.0015096746676124507,0.018,47/113,18.23%,NDUFA12;NDUFA4;NDUFS8;NDUFA13;NDUFA2;COX7B;ATP5PD;COX5B;LHPP;NDUFA10;NDUFB10;COX7A1;NDUFS5;NDUFA5;UQCR10;NDUFB11;UQCRB;NDUFA7;ATP6V1D;COX6C;ATP6V1G3;NDUFA6;NDUFA3;ATP5F1D;UQCR11;CYC1;NDUFB3;COX6B2;NDUFS6;NDUFV2;ATP5ME;COX7A2;SDHC;NDUFAB1;COX6A2;NDUFC2;NDUFB8;COX8C;NDUFB7;NDUFB6;ATP5PF;NDUFA8;NDUFA4L2;ATP5PB;ATP6V0E1;NDUFB5;ATP4A,KEGG_2021_Human,Oxidative phosphorylation,Upregulated
0.5921447506676116,2.2070295768766504,0.0,0.001372431516011319,0.018,24/47,16.52%,LMOD2;TCAP;CSRP3;OBSL1;MYOZ2;MYH6;MYOM2;MYOM1;TPM1;TNNT2;MYBPC3;MYL9;ACTN2;KLHL41;PGM5;LMOD1;CSRP1;TMOD4;MYLK3;FMNL3;MYPN;PDGFRB;OBSCN;ADPRHL1,GO_Biological_Process_2025,Myofibril Assembly (GO:0030239),Upregulated
0.5779924293654465,2.198760149249444,0.0,0.0013904898254325203,0.02,24/49,18.04%,NDUFA12;NDUFS8;NDUFA13;NDUFA2;NDUFA10;NDUFB10;NDUFS5;NDUFA5;NDUFB11;NDUFA7;TMEM126B;NDUFA6;NDUFA3;NDUFB3;NDUFS6;NDUFV2;TMEM186;NDUFAB1;NDUFC2;NDUFB8;NDUFB7;NDUFB6;NDUFA8;NDUFB5,Reactome_2022,Complex I Biogenesis R-HSA-6799198,Upregulated
0.6404323798229918,2.196689634242705,0.0,0.0014057699334043062,0.022,14/31,14.25%,KCND2;MYH6;TPM1;S100A1;TNNT2;CACNA1H;DES;PLN;HSPB7;ADORA3;FXYD1;AGER;DMPK;KCNQ1,GO_Biological_Process_2025,Regulation of Blood Circulation (GO:1903522),Upregulated
0.5231749823560196,2.187760937417708,0.0,0.00153237654231339,0.025,35/77,18.04%,NDUFA12;NDUFS8;NDUFA13;NDUFA2;NDUFA10;MDH1;KGD4;NDUFB10;NDUFS5;NDUFA5;NDUFB11;UQCRB;NDUFA7;NDUFA6;NDUFA3;ATP5F1D;BLOC1S1;NDUFB3;NDUFS6;SLC25A51;NDUFV2;IDH3B;SDHAF4;IDH3A;SDHC;NDUFAB1;NDUFC2;SUCLA2;NDUFB8;NDUFB7;NDUFB6;MTFR2;NDUFA8;CHCHD10;NDUFB5,GO_Biological_Process_2025,Aerobic Respiration (GO:0009060),Upregulated
0.6323859301538143,2.1849628671835855,0.0,0.0015891312290657377,0.027,17/34,9.83%,TCAP;MYL4;MYH6;MYOM1;TPM1;TNNT2;DES;TPM2;TNNI3;ACTA2;MYBPC3;MYL9;ACTC1;TTN;ACTA1;ACTN2;ACTN3,WikiPathways_2024_Human,Striated Muscle Contraction Pathway WP383,Upregulated
0.5709145126606031,2.1812087198235894,0.0,0.0016387915799740418,0.03,26/50,18.04%,NDUFA4;NDUFS8;NDUFA2;ATP5PD;NDUFA10;NDUFB10;NDUFS5;NDUFA5;NDUFA7;NDUFA6;NDUFA3;ATP5F1D;ATP6AP2;NDUFS6;NDUFV2;ATP5ME;NDUFAB1;NDUFC2;NDUFB8;NDUFB7;NDUFB6;ATP5PF;NDUFA8;NDUFA4L2;ATP5PB;NDUFB5,WikiPathways_2024_Human,Oxidative Phosphorylation WP623,Upregulated
0.5250445447813845,2.1670056544480447,0.0,0.0019163053056380952,0.038,30/81,13.44%,MYL6;LMOD2;TCAP;KCND2;SMPX;MYH6;MYOM2;TRDN;MYH13;TPM1;TNNT2;SMTN;CACNA1H;DES;TPM2;TNNI3;SGCA;RYR2;GAMT;CASQ2;CKMT2;FXYD1;KLHL41;LMOD1;HRC;MYH11;TMOD4;CRYAB;PABPN1;MYLK2,GO_Biological_Process_2025,Muscle Contraction (GO:0006936),Upregulated
0.4867076721266837,2.1573228295938454,0.0,0.0022954117753171766,0.047,40/108,16.98%,NDUFA12;COX20;NDUFS8;NDUFA13;NDUFA2;COX7B;ATP5PD;COX5B;NDUFA10;NDUFB10;NDUFS5;NDUFA5;UQCR10;NDUFB11;UQCRB;NDUFA7;TMEM126B;COX6C;NDUFA6;NDUFA3;ATP5F1D;UQCR11;COX16;NDUFB3;NDUFS6;NDUFV2;ATP5ME;ETFB;CCNI;TMEM186;NDUFAB1;COX14;NDUFC2;NDUFB8;NDUFB7;NDUFB6;ATP5PF;UCP3;NDUFA8;ATP5PB,Reactome_2022,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",Upregulated
0.5612073334675112,2.1406687196778673,0.0,0.0026764315436896636,0.057,24/48,18.04%,NDUFA12;NDUFA13;NDUFA2;NDUFA10;NDUFB10;NDUFS5;NDUFA5;NDUFB11;NDUFA7;TMEM126B;NDUFA6;NDUFA3;NDUFB3;NDUFS6;NDUFV2;TMEM186;NDUFAB1;NDUFC2;NDUFB8;NDUFB7;NDUFB6;NDUFA8;TMEM70;NDUFB5,WikiPathways_2024_Human,Mitochondrial Complex I Assembly Model OXPHOS System WP4324,Upregulated
0.6180159806911167,2.062597732081436,0.0,0.009097776286401347,0.186,11/30,11.56%,PET100;COX20;NDUFA4;HIGD1A;COX7B;COX5B;COX6C;COX16;COA3;COX7A2;COX14,WikiPathways_2024_Human,Mitochondrial Complex IV Assembly WP4922,Upregulated
0.6050547649298023,2.059927679369865,0.0,0.009118586338210541,0.196,15/30,15.92%,LMOD2;TCAP;CSRP3;MYOZ2;MYH6;MYOM2;MYOM1;TPM1;TNNT2;MYBPC3;CSRP1;MYLK3;FMNL3;MYPN;OBSCN,GO_Biological_Process_2025,Sarcomere Organization (GO:0045214),Upregulated
0.5649526538299725,2.05201121859394,0.0019193857965451055,0.01004042003818807,0.221,19/38,14.25%,TCAP;CSRP3;MYL4;MYH6;MYL7;TRDN;TPM1;TNNT2;SOD1;TNNI3;MYBPC3;RYR2;CASQ2;ACTC1;SCN4B;SGCG;DMD;MYLK2;KCNQ1,GO_Biological_Process_2025,Heart Contraction (GO:0060047),Upregulated
0.488977702592939,2.043023898946398,0.0,0.011331196589860041,0.253,28/84,12.90%,PET100;COX20;NDUFS8;NDUFA13;HIGD1A;NDUFAF8;TMEM242;COX7A1;NDUFS5;TMEM126B;CHCHD7;LYRM2;NDUFA6;ATP5F1D;UQCC6;COX16;STMP1;NDUFB3;COA3;SDHAF4;TMEM126A;COX7A2;TMEM186;COX14;NDUFC2;BCS1L;SDHAF3;HIGD1B,GO_Biological_Process_2025,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),Upregulated
0.6321248752900038,1.997256337263794,0.001890359168241966,0.019831033462716183,0.413,16/22,22.85%,TCAP;CSRP3;OBSL1;MYH6;CXADR;MYH11;MYLK3;PDLIM5;FMNL3;PDGFRB;ADPRHL1;HEY2;SORBS2;ASB2;MYL2;VEGFA,GO_Biological_Process_2025,Cardiac Muscle Cell Development (GO:0055013),Upregulated
0.503940280568558,1.9966696540296132,0.0,0.019164922622532797,0.416,26/62,16.83%,TGFB2;KCND2;MYH6;TPM1;S100A1;TNNT2;CACNA1H;DES;PLN;GJA5;SPTBN4;RYR2;RNF207;HSPB7;ADORA3;CACNA1C;FXYD1;ATP2A2;CALM3;SCN10A;SCN4B;HRC;DMPK;KCNQ1;CORIN;TRPC1,GO_Biological_Process_2025,Regulation of Heart Contraction (GO:0008016),Upregulated
0.5374469629313979,1.959493120129208,0.0,0.031446462205935465,0.583,14/39,12.01%,NDUFA4;MT3;COX7B;COX5B;MTLN;UQCR10;UQCRB;COX6C;UQCR11;ADRB3;SDHAF4;COX7A2;CCNI;GFPT1,GO_Biological_Process_2025,Energy Derivation by Oxidation of Organic Compounds (GO:0015980),Upregulated
0.42093628133173344,1.9594310200601934,0.0,0.03031120677662425,0.583,50/153,16.98%,NDUFA12;COX20;NDUFS8;NDUFA13;NDUFA2;COX7B;ATP5PD;COX5B;NDUFA10;BSG;NDUFB10;NDUFS5;NDUFA5;UQCR10;NDUFB11;UQCRB;NDUFA7;TMEM126B;COX6C;NDUFA6;NDUFA3;ATP5F1D;UQCR11;COX16;NDUFB3;NDUFS6;IDH2;NDUFV2;IDH3B;ATP5ME;IDH3A;ETFB;PCDHB11;CCNI;ACO2;TMEM186;NDUFAB1;COX14;NDUFC2;SUCLA2;NDUFB8;MPC1;GLO1;NDUFB7;MPC2;NDUFB6;ATP5PF;UCP3;NDUFA8;ATP5PB,Reactome_2022,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,Upregulated
