sample,total_reads,library_size,mapping_rate,n_detected_genes,multimapping_rate,absolute_thresholds,relative_thresholds
control_rep1,31962864,21449031,0.6710609850231193,19729,0.1985994434040704,high_multimapping_rate,Pass
control_rep2,31327744,20800152,0.6639530762253419,19765,0.207072906366957,high_multimapping_rate,Pass
control_rep3,33394761,22784846,0.6822880391328449,19599,0.1899954606652223,high_multimapping_rate,Pass
control_rep4,33931308,23272322,0.6858657497082046,19987,0.1875512727066106,high_multimapping_rate,Pass
CFA_rep1,34099257,22382159,0.6563826009464078,19898,0.2113040762149157,high_multimapping_rate,low_mapping_rate
CFA_rep2,29351348,19989107,0.6810285851266524,19698,0.1950992847074689,high_multimapping_rate,Pass
CFA_rep3,29550447,19903587,0.6735460549886099,19692,0.2006422440919421,high_multimapping_rate,Pass
CFA_rep4,29631856,20083569,0.6777695261478053,19836,0.1954944030505548,high_multimapping_rate,Pass
CFB_rep1,31503275,21102913,0.6698641014307243,19628,0.2068204972340177,high_multimapping_rate,Pass
CFB_rep2,28593734,19369080,0.6773889692056309,19606,0.2052145410599399,high_multimapping_rate,Pass
CFB_rep3,33344317,22556127,0.6764609093657549,19995,0.2015106502256441,high_multimapping_rate,Pass
CFB_rep4,32043971,21603823,0.6741930642740877,20162,0.1968530991368079,high_multimapping_rate,Pass
