sample,total_reads,mapping_rate,n_detected_genes,multimapping_rate,absolute_thresholds,relative_thresholds
control_rep1,28250055,0.9067000000000001,19729,0.0756,Pass,Pass
control_rep2,27553572,0.9015000000000001,19765,0.0793,Pass,Pass
control_rep3,29733702,0.9097,19599,0.0725,Pass,Pass
control_rep4,30245730,0.9114,19987,0.0722,Pass,Pass
CFA_rep1,29911786,0.8991,19898,0.0799,Pass,Pass
CFA_rep2,26028572,0.9077,19698,0.0754,Pass,Pass
CFA_rep3,26095036,0.9052,19692,0.07719999999999999,Pass,Pass
CFA_rep4,26265474,0.9076000000000001,19836,0.0746,Pass,Pass
CFB_rep1,27716484,0.9015000000000001,19628,0.0781,Pass,Pass
CFB_rep2,25167280,0.903,19606,0.0796,Pass,Pass
CFB_rep3,29450089,0.9041,19995,0.0786,Pass,Pass
CFB_rep4,28389700,0.9065000000000001,20162,0.07730000000000001,Pass,Pass
