Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,0.6368173432604832,2.471384596566459,0.0,0.0,0.0,33/58,18.65%,COL8A1;COL15A1;SERPINH1;COL6A3;PCOLCE;PPIB;P4HA1;COL16A1;PLOD1;COL1A2;COL5A3;CRTAP;COL1A1;P3H3;COL14A1;COL3A1;COL5A1;COLGALT2;PLOD2;COL27A1;COL20A1;COL6A5;TLL1;P4HB;COL4A6;COL17A1;COL5A2;COL13A1;COL28A1;COL4A5;PCOLCE2;P3H2;P4HA3
prerank,GO_Biological_Process_2025__Ribosome Biogenesis (GO:0042254),-0.5062359697844594,-2.4386588783508554,0.0,0.0,0.0,71/142,20.43%,LAS1L;WDR46;AIRIM;DKC1;WDR75;ZNF622;UTP4;RPS19BP1;BOP1;WDR3;XRN2;NOB1;NOM1;EIF1AX;NOP14;PAK1IP1;RPL26;HEATR3;RPL11;NOP16;AK8;PWP2;DDX47;NOP56;DIS3;FBL;DDX49;MPHOSPH10;NOP2;NOP58;UTP20;EXOSC2;WDR74;NIP7;EBNA1BP2;UTP18;PNO1;RPL27;NAT10;RRP9;AFG2A;GTF3A;LTV1;GTPBP4;NOLC1;WDR43;SURF6;URB2;WDR12;SBDS;LYAR;WDR18;DHX29;CUL4B;METTL5;CUL4A;ABCF1;WDR36;PES1;RRP36;BYSL;RRS1;EXOSC5;ESF1;NVL;EIF5;RBIS;SPPL2A;DDX27;RPL7;RPS28
prerank,GO_Biological_Process_2025__Ribonucleoprotein Complex Biogenesis (GO:0022613),-0.5333583998506775,-2.4309072720869698,0.0,0.0,0.0,66/103,29.81%,WDR46;AIRIM;WDR75;ZNF622;UTP4;RPS19BP1;BOP1;WDR3;NOM1;NOP14;PAK1IP1;RPL26;HEATR3;RPL11;NOP16;AK8;PWP2;NOP56;FBL;MPHOSPH10;NOP2;NOP58;UTP20;WDR74;NIP7;EBNA1BP2;UTP18;PNO1;NAT10;RRP9;AFG2A;GTF3A;LTV1;GTPBP4;WDR43;SURF6;URB2;WDR12;CUL4B;CUL4A;ABCF1;WDR36;PES1;RRP36;BYSL;RRS1;NVL;RPL38;RBIS;SPPL2A;RPL7;RPS28;DNTTIP2;NOL7;RPS6;DHX37;RPS23;GRWD1;UTP15;BMS1;IMP4;RPS5;RPS27A;RPS15A;TBL3;RPS4X
prerank,Reactome_2022__Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,-0.49995730763098084,-2.428911073317241,0.0,0.0,0.0,93/148,32.28%,LAS1L;WDR46;UBA52;RPP38;RRP1B;RPP40;WDR75;UTP4;NOL12;BOP1;FTSJ3;WDR3;XRN2;NOB1;PDCD11;NOP14;RPL26;RPL11;PWP2;GNL3;DDX47;NOP56;DIS3;FBL;DDX49;SENP3;MPHOSPH10;RPL36;NOP58;TEX10;UTP20;ISG20L2;RPL37;TSR1;EXOSC2;CSNK1E;NIP7;EBNA1BP2;UTP18;PNO1;RPL27;RRP9;LTV1;WDR43;WDR12;NOL11;WDR18;WDR36;PES1;RRP36;BYSL;RIOK3;DDX56;NOL9;EXOSC5;RPL38;SPPL2A;RPL7;RPS28;DNAJC5;RPL9;CSNK1D;RPL12;RBM28;RPS6;RPP25;RPL32;DHX37;RPS23;RPLP0;UTP15;EXOSC1;BMS1;EXOSC3;IMP4;RPS5;RPS27A;BUD23;DCAF13;RPS15A;TBL3;RPS4X;RPS21;RPL30;RPL23;UTP14C;UTP14A;RPL4;RPL8;RPL7A;EXOSC9;EXOSC4;RPL3
prerank,Reactome_2022__rRNA Processing In Nucleus And Cytosol R-HSA-8868773,-0.4971055167630195,-2.4111331261766,0.0,0.00029738980198659194,0.001,99/158,32.28%,LAS1L;WDR46;UBA52;RPP38;DKC1;RRP1B;RPP40;WDR75;UTP4;NOL12;BOP1;FTSJ3;WDR3;XRN2;NOB1;PDCD11;NOP14;RPL26;RPL11;PWP2;GNL3;DDX47;NOP56;DIS3;FBL;DDX49;SENP3;MPHOSPH10;NOP2;RPL36;NOP58;TEX10;UTP20;TSR3;ISG20L2;RPL37;TSR1;EXOSC2;CSNK1E;NIP7;EBNA1BP2;UTP18;PNO1;RPL27;NAT10;RRP9;LTV1;WDR43;WDR12;NOL11;WDR18;WDR36;PES1;RRP36;BYSL;RIOK3;DDX56;NOL9;THUMPD1;EXOSC5;RPL38;SPPL2A;RPL7;RPS28;DNAJC5;RPL9;CSNK1D;RPL12;RBM28;RPS6;RPP25;RPL32;DHX37;RPS23;RPLP0;UTP15;EXOSC1;BMS1;EXOSC3;IMP4;RPS5;NHP2;RPS27A;BUD23;DCAF13;RPS15A;TBL3;RPS4X;RPS21;RPL30;RPL23;UTP14C;UTP14A;RPL4;RPL8;RPL7A;EXOSC9;EXOSC4;RPL3
prerank,GO_Biological_Process_2025__Ribosomal Large Subunit Biogenesis (GO:0042273),-0.6268755487716855,-2.375568803736466,0.0,0.0007137355247678207,0.003,25/39,20.28%,LAS1L;AIRIM;ZNF622;BOP1;PAK1IP1;RPL26;HEATR3;RPL11;NOP16;NOP2;NSA2;WDR74;NIP7;EBNA1BP2;GTF3A;GTPBP4;SURF6;WDR12;PES1;MDN1;EIF6;RRS1;NVL;RRP15;RPL7
prerank,Reactome_2022__Collagen Formation R-HSA-1474290,0.563766646038418,2.3246310517696736,0.0,0.0,0.0,39/79,19.19%,ITGA6;COL8A1;COL15A1;SERPINH1;COL6A3;PCOLCE;PPIB;P4HA1;COL16A1;PLOD1;COL1A2;COL5A3;CRTAP;COL1A1;P3H3;LOXL2;COL14A1;COL3A1;LOXL3;COL5A1;COLGALT2;PLOD2;COL27A1;COL20A1;COL6A5;TLL1;P4HB;COL4A6;COL17A1;MMP9;COL5A2;COL13A1;COL28A1;COL4A5;PXDN;PCOLCE2;P3H2;P4HA3;CTSB
prerank,Reactome_2022__Signaling By BMP R-HSA-201451,-0.6966116682422799,-2.302152049972812,0.0,0.0017843388119195517,0.009,5/23,0.69%,SMAD7;SMAD6;SMURF2;ACVRL1;BMPR2
prerank,Reactome_2022__rRNA Modification In Nucleus And Cytosol R-HSA-6790901,-0.5612306278724624,-2.2955034551767457,0.0,0.0016993702970662396,0.01,40/57,33.22%,WDR46;DKC1;WDR75;UTP4;WDR3;PDCD11;NOP14;PWP2;DDX47;NOP56;FBL;DDX49;MPHOSPH10;NOP2;NOP58;UTP20;TSR3;UTP18;PNO1;NAT10;RRP9;WDR43;NOL11;WDR36;RRP36;THUMPD1;SPPL2A;RPS6;DHX37;UTP15;BMS1;IMP4;NHP2;BUD23;DCAF13;TBL3;UTP14C;UTP14A;RCL1;RPS7
prerank,Reactome_2022__rRNA Processing R-HSA-72312,-0.4684149813577355,-2.284296253115577,0.0,0.0017843388119195517,0.012,104/167,33.22%,LAS1L;WDR46;UBA52;RPP38;DKC1;RRP1B;RPP40;WDR75;UTP4;NOL12;BOP1;FTSJ3;WDR3;XRN2;NOB1;PDCD11;NOP14;RPL26;RPL11;PWP2;GNL3;DDX47;NOP56;DIS3;FBL;DDX49;SENP3;MPHOSPH10;NOP2;RPL36;NOP58;TEX10;UTP20;TSR3;ISG20L2;RPL37;TSR1;EXOSC2;CSNK1E;NIP7;EBNA1BP2;UTP18;PNO1;RPL27;NAT10;RRP9;LTV1;WDR43;WDR12;NOL11;WDR18;WDR36;PES1;RRP36;BYSL;RIOK3;DDX56;NOL9;THUMPD1;EXOSC5;RPL38;SPPL2A;RPL7;RPS28;DNAJC5;RPL9;CSNK1D;RPL12;RBM28;RPS6;RPP25;TRMT10C;RPL32;DHX37;RPS23;RPLP0;UTP15;EXOSC1;BMS1;EXOSC3;IMP4;RPS5;NHP2;RPS27A;BUD23;DCAF13;RPS15A;TBL3;RPS4X;MRM3;RPS21;RPL30;RPL23;UTP14C;UTP14A;RPL4;RPL8;RPL7A;EXOSC9;EXOSC4;RPL3;MRM1;RCL1;RPS7
prerank,GO_Biological_Process_2025__Collagen Fibril Organization (GO:0030199),0.6175187100914077,2.2692080292157324,0.0,0.0005738685682907033,0.002,20/44,9.73%,SERPINH1;P4HA1;PLOD1;COL1A2;COL5A3;CRTAP;COL1A1;ADAMTS19;LOXL2;COL14A1;COL3A1;LOXL3;CYP1B1;COL5A1;COLGALT2;DPT;PLOD2;SERPINF2;TLL1;DDR2
