Sample,Number of input reads,Uniquely mapped reads number,Uniquely mapped reads %,Number of reads mapped to multiple loci,% of reads mapped to multiple loci
H23-142,28250055,25615057,90.67%,2136935,7.56%
H23-143,27553572,24840617,90.15%,2184201,7.93%
H23-144,29733702,27049908,90.97%,2156935,7.25%
H23-145,30245730,27567448,91.14%,2185175,7.22%
H23-146,29911786,26893945,89.91%,2389618,7.99%
H23-147,26028572,23624921,90.77%,1961723,7.54%
H23-148,26095036,23621379,90.52%,2013393,7.72%
H23-149,26265474,23838994,90.76%,1960601,7.46%
H23-150,27716484,24987752,90.15%,2165072,7.81%
H23-151,25167280,22725884,90.30%,2002725,7.96%
H23-152,29450089,26625082,90.41%,2315968,7.86%
H23-153,28389700,25736016,90.65%,2194731,7.73%
