Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Extracellular Matrix Organization R-HSA-1474244,Reactome_2022,2.940278572981552,Upregulated,0.0,145/231,21.60%
Extracellular Matrix Organization (GO:0030198),GO_Biological_Process_2025,2.909044103346589,Upregulated,0.0,94/145,20.03%
Collagen-Containing Extracellular Matrix (GO:0062023),GO_Cellular_Component_2025,2.898105172052213,Upregulated,0.0,171/285,22.46%
Collagen Formation R-HSA-1474290,Reactome_2022,2.8376722910907843,Upregulated,0.0,52/66,20.03%
Glucuronidation R-HSA-156588,Reactome_2022,2.7830989054666757,Upregulated,0.0,19/24,3.12%
Ascorbate and aldarate metabolism,KEGG_2021_Human,2.765942027447648,Upregulated,0.0,18/30,3.12%
External Encapsulating Structure Organization (GO:0045229),GO_Biological_Process_2025,2.728845593390377,Upregulated,0.0,54/84,19.65%
Extracellular Structure Organization (GO:0043062),GO_Biological_Process_2025,2.707435608532852,Upregulated,0.0,54/84,19.65%
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,Reactome_2022,2.658760112056013,Upregulated,0.0,38/47,19.57%
Glucuronidation WP698,WikiPathways_2024_Human,2.6227344205445435,Upregulated,0.0,18/25,3.12%
Glucuronosyltransferase Activity (GO:0015020),GO_Molecular_Function_2025,2.612199478023421,Upregulated,0.0,18/31,3.12%
Cytokine-cytokine receptor interaction,KEGG_2021_Human,2.580507194241316,Upregulated,0.0,76/188,17.58%
Cytokine Cytokine Receptor Interaction WP5473,WikiPathways_2024_Human,2.5730317292363707,Upregulated,0.0,69/157,17.58%
Degradation Of Extracellular Matrix R-HSA-1474228,Reactome_2022,2.571792987405232,Upregulated,0.0,47/85,17.68%
Pentose and glucuronate interconversions,KEGG_2021_Human,2.5664293151065687,Upregulated,0.0,18/34,3.12%
Metalloendopeptidase Activity (GO:0004222),GO_Molecular_Function_2025,2.5614501999462824,Upregulated,0.0,46/85,19.47%
ECM-receptor interaction,KEGG_2021_Human,2.5594090011345894,Upregulated,0.0,34/67,10.66%
Aspirin ADME R-HSA-9749641,Reactome_2022,2.5541194054735814,Upregulated,0.0,19/34,3.12%
UDP-glycosyltransferase Activity (GO:0008194),GO_Molecular_Function_2025,2.5219617725189667,Upregulated,0.0,29/63,10.89%
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,Reactome_2022,2.5210479287957117,Upregulated,0.0,32/43,20.03%
Laminin Interactions R-HSA-3000157,Reactome_2022,2.515952389071409,Upregulated,0.0,13/18,8.82%
Drug ADME R-HSA-9748784,Reactome_2022,2.5117672314492565,Upregulated,0.0,33/74,12.43%
Collagen Fibril Organization (GO:0030199),GO_Biological_Process_2025,2.482627707309707,Upregulated,0.0,31/40,20.03%
Integrin Cell Surface Interactions R-HSA-216083,Reactome_2022,2.4809872442083183,Upregulated,0.0,23/51,7.33%
Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995,Reactome_2022,2.480080480796967,Upregulated,0.0,29/48,18.97%
Myofibril Assembly (GO:0030239),GO_Biological_Process_2025,2.4441501713496483,Upregulated,0.0,33/46,25.34%
Endodermal Cell Differentiation (GO:0035987),GO_Biological_Process_2025,2.442198965587406,Upregulated,0.0,13/26,8.37%
Proteolysis (GO:0006508),GO_Biological_Process_2025,2.4315564318688287,Upregulated,0.0,119/253,24.29%
Porphyrin and chlorophyll metabolism,KEGG_2021_Human,2.427925901826629,Upregulated,0.0,19/43,3.12%
Endoplasmic Reticulum Lumen (GO:0005788),GO_Cellular_Component_2025,2.4255514516106493,Upregulated,0.0,134/230,27.60%
Extracellular Matrix Disassembly (GO:0022617),GO_Biological_Process_2025,2.421989572390387,Upregulated,0.0,21/35,16.93%
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome_2022,2.414040370005744,Upregulated,0.0,32/95,13.28%
Metallopeptidase Activity (GO:0008237),GO_Molecular_Function_2025,2.402190226477241,Upregulated,0.0,51/107,19.47%
Diseases Of Glycosylation R-HSA-3781865,Reactome_2022,2.400062944735072,Upregulated,0.0,67/118,27.17%
