Pathway,Database,NES,Direction,FDR q-val,Tag %,Gene %
Extracellular Matrix Organization R-HSA-1474244,Reactome_2022,2.8217691077252973,Upregulated,0.0,138/231,22.33%
Collagen-Containing Extracellular Matrix (GO:0062023),GO_Cellular_Component_2025,2.8103219519404066,Upregulated,0.0,182/285,26.11%
Extracellular Matrix Organization (GO:0030198),GO_Biological_Process_2025,2.731312991224888,Upregulated,0.0,95/145,25.33%
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,Reactome_2022,2.719956390552904,Upregulated,0.0,34/43,21.45%
Degradation Of Extracellular Matrix R-HSA-1474228,Reactome_2022,2.683198253044525,Upregulated,0.0,50/85,17.51%
Aspirin ADME R-HSA-9749641,Reactome_2022,2.6763106299390085,Upregulated,0.0,28/34,14.94%
Collagen Formation R-HSA-1474290,Reactome_2022,2.6267361020563142,Upregulated,0.0,47/66,24.60%
Ascorbate and aldarate metabolism,KEGG_2021_Human,2.6046317344472847,Upregulated,0.0,24/30,15.84%
External Encapsulating Structure Organization (GO:0045229),GO_Biological_Process_2025,2.599046467251104,Upregulated,0.0,51/84,21.45%
Glucuronidation R-HSA-156588,Reactome_2022,2.596824966195246,Upregulated,0.0,20/24,7.86%
Extracellular Structure Organization (GO:0043062),GO_Biological_Process_2025,2.588843107322238,Upregulated,0.0,51/84,21.45%
Metalloendopeptidase Activity (GO:0004222),GO_Molecular_Function_2025,2.552883162073768,Upregulated,0.0,45/85,16.88%
Glucuronidation WP698,WikiPathways_2024_Human,2.551591308277545,Upregulated,0.0,19/25,7.85%
Proteolysis (GO:0006508),GO_Biological_Process_2025,2.550039927610328,Upregulated,0.0,125/253,22.33%
Golgi Cisterna Membrane (GO:0032580),GO_Cellular_Component_2025,2.545673794314302,Upregulated,0.0,17/25,6.90%
Golgi Cisterna (GO:0031985),GO_Cellular_Component_2025,2.530397732137456,Upregulated,0.0,22/43,6.98%
Golgi Cis Cisterna (GO:0000137),GO_Cellular_Component_2025,2.517093048818775,Upregulated,0.0,18/25,6.90%
Pentose and glucuronate interconversions,KEGG_2021_Human,2.511009526758597,Upregulated,0.0,20/34,7.85%
ECM-receptor interaction,KEGG_2021_Human,2.507798360922716,Upregulated,0.0,38/67,17.66%
Collagen Degradation R-HSA-1442490,Reactome_2022,2.4799907414275406,Upregulated,0.0,22/31,16.23%
Steroid hormone biosynthesis,KEGG_2021_Human,2.4712623103130067,Upregulated,0.0,33/53,14.05%
Matrix Metalloproteinases WP129,WikiPathways_2024_Human,2.4607508601933787,Upregulated,0.0,15/27,12.79%
Biological Oxidations R-HSA-211859,Reactome_2022,2.4484163262224983,Upregulated,0.0,127/176,32.98%
Bile secretion,KEGG_2021_Human,2.439461556149365,Upregulated,0.0,43/75,15.73%
Endoplasmic Reticulum Lumen (GO:0005788),GO_Cellular_Component_2025,2.435519636238193,Upregulated,0.0,112/230,24.25%
Collagen Chain Trimerization R-HSA-8948216,Reactome_2022,2.430768924804194,Upregulated,0.0,16/25,11.35%
Metallopeptidase Activity (GO:0008237),GO_Molecular_Function_2025,2.4284846372608206,Upregulated,0.0,51/107,17.04%
Complement and coagulation cascades,KEGG_2021_Human,2.4186995534121203,Upregulated,0.0,47/55,34.13%
Complement System WP2806,WikiPathways_2024_Human,2.417913523128096,Upregulated,0.0,34/63,18.62%
Tight Junction (GO:0070160),GO_Cellular_Component_2025,2.4121227998925185,Upregulated,0.0,48/76,23.38%
Endodermal Cell Differentiation (GO:0035987),GO_Biological_Process_2025,2.3999151242259686,Upregulated,0.0,15/26,13.56%
Endopeptidase Activity (GO:0004175),GO_Molecular_Function_2025,2.397708800819983,Upregulated,0.0,99/240,17.58%
Activation Of Matrix Metalloproteinases R-HSA-1592389,Reactome_2022,2.393302322352274,Upregulated,0.0,17/27,13.52%
Protein digestion and absorption,KEGG_2021_Human,2.3916594939653573,Upregulated,0.0,49/72,25.61%
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,Reactome_2022,2.388624604957517,Upregulated,0.0,49/94,22.47%
Growth Hormone Receptor Signaling Pathway (GO:0060396),GO_Biological_Process_2025,2.3847655035609177,Upregulated,0.0,14/20,11.77%
Integrin Cell Surface Interactions R-HSA-216083,Reactome_2022,2.372337790603282,Upregulated,0.0,29/51,17.66%
Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995,Reactome_2022,2.3709122973594807,Upregulated,0.0,25/48,17.29%
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,Reactome_2022,2.3682097104503046,Upregulated,0.0,32/47,24.60%
Extracellular Matrix Disassembly (GO:0022617),GO_Biological_Process_2025,2.3674008390073915,Upregulated,0.0,27/35,25.33%
Estrogen Metabolism WP697,WikiPathways_2024_Human,2.365088036995968,Upregulated,0.0,14/18,13.07%
Pathogenic Escherichia coli infection,KEGG_2021_Human,2.3536473589465805,Upregulated,0.0,82/152,24.49%
Collagen Catabolic Process (GO:0030574),GO_Biological_Process_2025,2.352657045548465,Upregulated,0.0,16/28,12.79%
Striated Muscle Contraction Pathway WP383,WikiPathways_2024_Human,2.348005871016908,Upregulated,0.0,28/32,29.53%
Apical Junction Complex (GO:0043296),GO_Cellular_Component_2025,2.344660120220745,Upregulated,0.0,41/86,16.71%
Retinol metabolism,KEGG_2021_Human,2.344016650762744,Upregulated,0.0,41/53,29.23%
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome_2022,2.343951421980033,Upregulated,0.0,71/95,32.98%
Formation Of Cornified Envelope R-HSA-6809371,Reactome_2022,2.339146836384385,Upregulated,0.0,17/25,10.72%
Serine-Type Peptidase Activity (GO:0008236),GO_Molecular_Function_2025,2.338881532534599,Upregulated,0.0,63/103,26.99%
Drug ADME R-HSA-9748784,Reactome_2022,2.3328508694498766,Upregulated,0.0,40/74,14.94%
Affected Pathways In Duchenne Muscular Dystrophy WP5356,WikiPathways_2024_Human,2.326655324690802,Upregulated,0.0,36/61,26.08%
UDP-glycosyltransferase Activity (GO:0008194),GO_Molecular_Function_2025,2.3202916989976905,Upregulated,1.9167587605930488e-05,31/63,14.41%
Cellular Component Disassembly (GO:0022411),GO_Biological_Process_2025,2.318810197894326,Upregulated,1.880593500959218e-05,23/39,16.84%
Cell Junction Organization R-HSA-446728,Reactome_2022,2.318465395817152,Upregulated,1.8457676953858983e-05,26/64,13.64%
Apical Junction Assembly (GO:0043297),GO_Biological_Process_2025,2.314693123478025,Upregulated,1.8122082827425183e-05,22/40,17.05%
Keratinization R-HSA-6805567,Reactome_2022,2.3133556007546168,Upregulated,1.779847420550688e-05,17/26,10.72%
Glucuronosyltransferase Activity (GO:0015020),GO_Molecular_Function_2025,2.302924312996475,Upregulated,1.7486220272076937e-05,20/31,13.07%
Tight Junction Assembly (GO:0120192),GO_Biological_Process_2025,2.2964878216174225,Upregulated,3.436946743132363e-05,22/42,17.05%
Porphyrin and chlorophyll metabolism,KEGG_2021_Human,2.2940056188874367,Upregulated,3.378693408503001e-05,26/43,18.74%
