Status	/app/output/runs/all_samples/aligned/BMAA_rep1.sorted.bam	/app/output/runs/all_samples/aligned/BMAA_rep2.sorted.bam	/app/output/runs/all_samples/aligned/BMAA_rep3.sorted.bam	/app/output/runs/all_samples/aligned/BMAA_rep4.sorted.bam	/app/output/runs/all_samples/aligned/BMAA_rep5.sorted.bam	/app/output/runs/all_samples/aligned/BMAA_rep6.sorted.bam	/app/output/runs/all_samples/aligned/BMAAals_rep1.sorted.bam	/app/output/runs/all_samples/aligned/BMAAals_rep2.sorted.bam	/app/output/runs/all_samples/aligned/BMAAals_rep3.sorted.bam	/app/output/runs/all_samples/aligned/BMAAals_rep4.sorted.bam	/app/output/runs/all_samples/aligned/BMAAals_rep5.sorted.bam	/app/output/runs/all_samples/aligned/BMAAals_rep6.sorted.bam	/app/output/runs/all_samples/aligned/BMAAeda_rep1.sorted.bam	/app/output/runs/all_samples/aligned/BMAAeda_rep2.sorted.bam	/app/output/runs/all_samples/aligned/BMAAeda_rep3.sorted.bam	/app/output/runs/all_samples/aligned/BMAAeda_rep4.sorted.bam	/app/output/runs/all_samples/aligned/BMAAeda_rep5.sorted.bam	/app/output/runs/all_samples/aligned/BMAAeda_rep6.sorted.bam	/app/output/runs/all_samples/aligned/BMAApure_rep1.sorted.bam	/app/output/runs/all_samples/aligned/BMAApure_rep2.sorted.bam	/app/output/runs/all_samples/aligned/BMAApure_rep3.sorted.bam	/app/output/runs/all_samples/aligned/BMAApure_rep4.sorted.bam	/app/output/runs/all_samples/aligned/BMAApure_rep5.sorted.bam	/app/output/runs/all_samples/aligned/BMAApure_rep6.sorted.bam	/app/output/runs/all_samples/aligned/CTRL_rep1.sorted.bam	/app/output/runs/all_samples/aligned/CTRL_rep2.sorted.bam	/app/output/runs/all_samples/aligned/CTRL_rep3.sorted.bam	/app/output/runs/all_samples/aligned/CTRL_rep4.sorted.bam	/app/output/runs/all_samples/aligned/CTRL_rep5.sorted.bam	/app/output/runs/all_samples/aligned/CTRL_rep6.sorted.bam
Assigned	1000000	32835279	23773774	25057094	31419960	28616703	22830477	20169945	28080592	26908860	21940387	22850861	33545272	26596483	26395479	28159690	31998769	18536313	21833170	20369751	23175122	19249575	20671960	26610954	30664049	27539680	25442290	27072208	23599122	25979421
Unassigned_Unmapped	0	1683665	1704144	1818919	2384343	2090719	1374188	1295490	1552312	1820384	1545781	1606996	1795921	1375432	1506654	2049153	2358623	1267899	1373814	1380820	1526586	1332331	1648807	1884046	1876585	1624755	1485826	2140237	1682564	1989627
Unassigned_Read_Type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Singleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	39015	38400	53816	65992	53529	52610	50404	60182	59149	60739	55469	41400	41435	51327	68788	75406	61556	60325	84940	49296	68726	55960	56328	41363	50008	44986	77146	56542	68197
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	3000000	4813799	4292797	3540239	5228386	4489893	3611209	3199352	4584371	4441260	3912875	3538895	5239769	4266810	4273467	4805443	5030266	3042933	3596153	4225781	3701834	3427356	3012833	4243380	4691279	5206304	4381866	4868227	4031659	4001259
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NonSplit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	0	4190887	4964826	3318118	4124058	3494192	2830751	2908747	3596303	3182812	2806679	2577060	4323361	3101164	3690661	3217336	3586042	2248406	3260899	3275007	3557191	2445211	3317735	3524171	5478392	3780901	3779338	3762470	3130144	3925888
Unassigned_Overlapping_Length	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Ambiguity	0	1042228	880172	808662	1297598	1116251	977719	806150	1012787	871165	717772	941782	1120702	973379	1004573	1065286	1316730	543081	878147	692299	915410	580738	799962	792906	888261	1127446	898523	1005566	822641	885001
