sample,drug,treatment,replicate,date_collected,batch
BMAA_rep1,BMAA,pathogenic_control,1,2024-05-08,batch_1
BMAA_rep2,BMAA,pathogenic_control,2,2024-05-07,batch_2
BMAA_rep3,BMAA,pathogenic_control,3,2024-05-08,batch_1
BMAA_rep4,BMAA,pathogenic_control,4,2024-05-09,batch_2
BMAA_rep5,BMAA,pathogenic_control,5,2024-05-07,batch_2
BMAA_rep6,BMAA,pathogenic_control,6,2024-05-07,batch_2
BMAAals_rep1,CNR401,treated,1,2024-05-08,batch_1
BMAAals_rep2,CNR401,treated,2,2024-05-08,batch_1
BMAAals_rep3,CNR401,treated,3,2024-05-09,batch_2
BMAAals_rep4,CNR401,treated,4,2024-05-07,batch_2
BMAAals_rep5,CNR401,treated,5,2024-05-07,batch_2
BMAAals_rep6,CNR401,treated,6,2024-05-09,batch_2
BMAAeda_rep1,Edaravone,treated,1,2024-05-09,batch_2
BMAAeda_rep2,Edaravone,treated,2,2024-05-07,batch_2
BMAAeda_rep3,Edaravone,treated,3,2024-05-08,batch_1
BMAAeda_rep4,Edaravone,treated,4,2024-05-08,batch_1
BMAAeda_rep5,Edaravone,treated,5,2024-05-09,batch_2
BMAAeda_rep6,Edaravone,treated,6,2024-05-07,batch_2
BMAApure_rep1,CFA,treated,1,2024-05-09,batch_2
BMAApure_rep2,CFA,treated,2,2024-05-08,batch_1
BMAApure_rep3,CFA,treated,3,2024-05-07,batch_2
BMAApure_rep4,CFA,treated,4,2024-05-07,batch_2
BMAApure_rep5,CFA,treated,5,2024-05-08,batch_1
BMAApure_rep6,CFA,treated,6,2024-05-09,batch_2
CTRL_rep1,none,healthy_control,1,2024-05-09,batch_2
CTRL_rep2,none,healthy_control,2,2024-05-09,batch_2
CTRL_rep3,none,healthy_control,3,2024-05-07,batch_2
CTRL_rep4,none,healthy_control,4,2024-05-07,batch_2
CTRL_rep5,none,healthy_control,5,2024-04-17,batch_3
CTRL_rep6,none,healthy_control,6,2024-04-24,batch_3
