Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2021_Human__Ribosome,-0.6584344198237182,-3.31182883019024,0.0,0.0,0.0,85/119,22.39%,RPS17;RPL24;RPS19;FAU;RPLP0;MRPL11;RPS10;RPL31;RPL14;RPLP2;RPS15;RPL13;MRPL20;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;RPL17;RPS4Y2;RPS4X;RPS4Y1;MRPL18;RPS12;MRPS10;MRPL28;RPL3;RPS7;RPS14;RPL37;RPL12;RPL28;RPL34;RPL18;RPL6;MRPL2;RPL30;RPL23;RPL10;RPL10L;RPL22;RPL19;RPL36AL;RPS11;RPS5;MRPS2;RPL35;RPS25;MRPS6;RPL29;RPLP1;RPS13;RPL4;RPS26;RPSA;RPL15;RPL36;RPS23;RPS28;MRPL36;MRPL16;MRPL24;RPL23A;RPS3A;RPL39;MRPL14;MRPS12;RPS2;MRPL32;RPL21;MRPS7;MRPL27;RPS18;RNA5-8SN3;RNA5-8SN2;RNA5-8SN1;RPL38;UBA52;RPS21;MRPS16;MRPL17;RPL5;MRPL23
prerank,Reactome_2022__Peptide Chain Elongation R-HSA-156902,-0.7005033212065991,-3.2019133960012116,0.0,0.0,0.0,58/73,22.29%,RPS17;RPS19;FAU;RPLP0;RPS10;RPL31;RPL14;RPLP2;RPS15;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;EEF1A1;RPS4Y2;RPS4X;RPS4Y1;RPS12;RPL3;RPS7;RPS14;RPL37;RPL12;RPL28;RPL34;RPL18;RPL6;RPL30;RPL23;RPL10L;RPL22;RPL19;RPL36AL;RPS11;RPS5;RPL35;RPS25;RPL29;RPLP1;RPS13;RPL4;RPSA;RPL15;RPL36;RPS23;RPS28;RPL23A;RPS3A;RPL39;RPS2;RPL21;RPL38;UBA52;RPS21;RPL5
prerank,Reactome_2022__Viral mRNA Translation R-HSA-192823,-0.6988551826161933,-3.1993997787312733,0.0,0.0,0.0,59/76,22.29%,PBRM1;RPS17;RPS19;FAU;RPLP0;RPS10;RPL31;RPL14;RPLP2;RPS15;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;RPS4Y2;RPS4X;RPS4Y1;RPS12;RPL3;RPS7;RPS14;RPL37;RPL12;RPL28;RPL34;RPL18;RPL6;RPL30;RPL23;RPL10L;RPL22;RPL19;RPL36AL;RPS11;RPS5;RPL35;RPS25;RPL29;RPLP1;RPS13;RPL4;RPSA;RPL15;RPL36;RPS23;RPS28;RPL23A;RPS3A;RPL39;RPS2;RPL21;XK;RPL38;UBA52;RPS21;RPL5
prerank,Reactome_2022__Eukaryotic Translation Elongation R-HSA-156842,-0.6884959311967623,-3.1935406194874885,0.0,0.0,0.0,60/77,22.29%,RPS17;RPS19;FAU;RPLP0;EEF1D;RPS10;RPL31;RPL14;RPLP2;RPS15;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;EEF1A1;RPS4Y2;RPS4X;RPS4Y1;RPS12;RPL3;RPS7;RPS14;RPL37;RPL12;RPL28;RPL34;RPL18;RPL6;RPL30;RPL23;RPL10L;RPL22;RPL19;RPL36AL;RPS11;RPS5;RPL35;RPS25;RPL29;RPLP1;RPS13;RPL4;RPSA;RPL15;RPL36;RPS23;RPS28;RPL23A;RPS3A;RPL39;RPS2;RPL21;EEF1B2;RPL38;UBA52;RPS21;RPL5
prerank,Reactome_2022__Selenocysteine Synthesis R-HSA-2408557,-0.6854956394396446,-3.1933870683083305,0.0,0.0,0.0,59/77,22.29%,RPS17;RPS19;FAU;RPLP0;RPS10;RPL31;RPL14;RPLP2;RPS15;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;RPS4Y2;RPS4X;RPS4Y1;RPS12;RPL3;PSTK;RPS7;RPS14;RPL37;RPL12;RPL28;RPL34;RPL18;RPL6;RPL30;RPL23;RPL10L;RPL22;RPL19;RPL36AL;RPS11;RPS5;RPL35;RPS25;RPL29;RPLP1;RPS13;RPL4;RPSA;RPL15;RPL36;RPS23;RPS28;RPL23A;SEPSECS;RPS3A;RPL39;RPS2;RPL21;RPL38;UBA52;RPS21;RPL5
prerank,WikiPathways_2024_Human__Cytoplasmic Ribosomal Proteins WP477,-0.6912936405636577,-3.1642000288637164,0.0,0.0,0.0,62/75,22.29%,RPS17;RPL24;RPS19;FAU;RPLP0;RPS10;RPL31;RPL14;RPLP2;RPS15;RPL13;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;RPL17;RPS4X;RPS4Y1;RPS12;RPL3;RPS7;RPS14;RPL37;RPL12;RPL28;RPL34;RPL18;RPL6;RPL30;RPL23;RPL10;RPL22;RPL19;RPS11;RPS5;RPL35;RPS25;RPL29;RPLP1;RPS13;RPL4;RPS26;RPSA;RPL15;RPL36;RPS23;RPS28;RPL23A;RPS3A;RPL39;RPS2;RPL21;RPS6KA6;RPS18;RPL38;UBA52;RPS21;RPS6KA1;RPL5
prerank,Reactome_2022__Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,-0.6678013256463522,-3.1055657465020605,0.0,0.0,0.0,58/77,22.29%,RPS17;RPS19;FAU;RPLP0;RPS10;RPL31;RPL14;RPLP2;RPS15;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;RPS4Y2;RPS4X;RPS4Y1;RPS12;RPL3;RPS7;RPS14;RPL37;RPL12;RPL28;RPL34;RPL18;RPL6;RPL30;UPF1;RPL23;RPL10L;RPL22;RPL19;RPL36AL;RPS11;RPS5;RPL35;RPS25;RPL29;RPLP1;RPS13;RPL4;RPSA;RPL15;RPL36;RPS23;RPS28;RPL23A;RPS3A;RPL39;RPS2;RPL21;RPL38;UBA52;RPS21;RPL5
prerank,Reactome_2022__Formation Of A Pool Of Free 40S Subunits R-HSA-72689,-0.656188484620691,-3.096699343823956,0.0,0.0,0.0,67/85,26.61%,RPS17;RPS19;FAU;RPLP0;RPS10;RPL31;RPL14;RPLP2;RPS15;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;RPS4Y2;RPS4X;RPS4Y1;RPS12;RPL3;RPS7;RPS14;RPL37;RPL12;RPL28;RPL34;RPL18;RPL6;RPL30;RPL23;RPL10L;RPL22;RPL19;RPL36AL;RPS11;RPS5;RPL35;RPS25;RPL29;RPLP1;RPS13;RPL4;RPSA;RPL15;EIF3K;RPL36;RPS23;RPS28;RPL23A;RPS3A;RPL39;RPS2;RPL21;EIF3L;RPL38;UBA52;RPS21;RPL5;EIF3D;EIF3E;EIF3H;EIF3I;EIF3M;RPL10A;EIF3G;RPL13A
prerank,Reactome_2022__Cap-dependent Translation Initiation R-HSA-72737,-0.6317301532051374,-3.066318871990377,0.0,0.0,0.0,76/101,28.50%,RPS17;RPS19;FAU;RPLP0;RPS10;RPL31;RPL14;RPLP2;RPS15;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;RPS4Y2;RPS4X;RPS4Y1;RPS12;RPL3;RPS7;RPS14;RPL37;RPL12;EIF2B3;RPL28;RPL34;RPL18;RPL6;RPL30;RPL23;RPL10L;RPL22;RPL19;RPL36AL;RPS11;RPS5;RPL35;RPS25;EIF4H;RPL29;RPLP1;RPS13;EIF2B2;RPL4;RPSA;RPL15;EIF3K;RPL36;RPS23;RPS28;RPL23A;RPS3A;RPL39;RPS2;RPL21;EIF3L;RPL38;UBA52;RPS21;RPL5;EIF3D;EIF3E;EIF3H;EIF3I;EIF2B1;EIF3M;RPL10A;EIF3G;RPL13A;EIF2S1;RPL27;EIF4B;EIF5;RPL35A
prerank,Reactome_2022__Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,-0.6510266295864965,-3.0629015599072864,0.0,0.0,0.0,58/84,22.29%,RPS17;RPS19;FAU;RPLP0;RPS10;RPL31;RPL14;RPLP2;RPS15;RPS16;RPL8;RPL18A;RPS8;RPS6;RPL11;RPS29;RPS4Y2;RPS4X;RPS4Y1;RPS12;RPL3;RPS7;RPS14;RPL37;RPL12;RPL28;RPL34;RPL18;RPL6;RPL30;RPL23;RPL10L;RPL22;RPL19;RPL36AL;RPS11;RPS5;RPL35;RPS25;RPL29;RPLP1;RPS13;RPL4;RPSA;RPL15;RPL36;RPS23;RPS28;RPL23A;RPS3A;RPL39;RPS2;ATF4;RPL21;RPL38;UBA52;RPS21;RPL5
