Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Cellular_Component_2025__Postsynaptic Specialization Membrane (GO:0099634),-0.7238232928930566,-3.086200020006465,0.0,0.0,0.0,39/52,18.54%,LRRC4;LRRC4C;PLPPR4;MPP3;GRID1;GSG1L;GRIA2;GABRA6;GABRB2;GRIA3;LRRTM2;NLGN4X;NLGN4Y;MPP2;GRIK5;GRIA4;GRIA1;CACNG5;GRIK1;DAGLA;LRRTM1;CACNG3;GRIN2B;GRM1;CACNG2;GRIN3B;CACNG8;LLGL1;GABRB3;CACNG7;GRID2;GRIN2A;LRFN1;ASIC1;NLGN2;GRIN2C;LRFN2;SLITRK3;DLG1
prerank,GO_Cellular_Component_2025__Postsynaptic Density Membrane (GO:0098839),-0.7218784270405345,-2.9498433088245064,0.0,0.0,0.0,32/42,18.54%,LRRC4;LRRC4C;PLPPR4;MPP3;GRID1;GSG1L;GRIA2;GRIA3;NLGN4X;MPP2;GRIK5;GRIA4;GRIA1;CACNG5;GRIK1;DAGLA;CACNG3;GRIN2B;GRM1;CACNG2;GRIN3B;CACNG8;LLGL1;CACNG7;GRID2;GRIN2A;LRFN1;ASIC1;GRIN2C;LRFN2;SLITRK3;DLG1
prerank,GO_Biological_Process_2025__Lymphocyte Activation Involved in Immune Response (GO:0002285),-0.7893052610159009,-2.782221253970497,0.0,0.0,0.0,17/23,5.16%,MDK;IFNA4;IFNA21;IFNA14;IFNA2;IFNB1;IFNA8;IFNA6;IFNK;IFNA1;IFNA16;IFNA17;IFNA5;IFNE;IFNW1;IFNA10;IFNA7
prerank,Reactome_2022__Extracellular Matrix Organization R-HSA-1474244,0.5864581661528332,2.768597495795139,0.0,0.0,0.0,134/231,22.31%,ITGB3;ITGB1;CAPN5;ITGA2;FMOD;DST;VCAN;COL4A2;EFEMP1;COL15A1;COL10A1;CTSK;ITGA3;COL12A1;F11R;CAPN9;CAPN2;SH3PXD2A;COL6A6;FBN1;MMP2;PXDN;ITGAV;SDC2;COL5A2;COL4A1;COL23A1;ICAM3;KDR;TIMP2;ADAM17;MMP14;LAMA2;GDF5;ADAM10;LTBP1;FBN3;CTSL;CTSV;ADAMTS8;ITGA4;CTSS;MMP28;FGA;CAPN14;NCSTN;MMP13;MMP10;MMP12;MMP3;ITGA8;TPSAB1;PLG;FBLN1;ITGAE;SDC4;COL6A1;MMP15;CAPNS2;PCOLCE;COL17A1;HSPG2;ASPN;ACTN1;LAMB1;COL6A3;CASP3;FN1;ITGA1;COL18A1;ADAMTS5;FBLN2;BMP1;CAPNS1;COL8A2;MMP9;CAPN1;COLGALT2;LAMA5;ITGA7;ADAMTS16;LOX;FGG;ITGB4;CTSD;VTN;ADAM9;THBS1;MMP11;CTRB2;CTRB1;MFAP4;CTSB;TGFB1;PLOD3;LRP4;TGFB2;DCN;FBLN5;ADAM8;PRSS2;ADAMTS2;FGB;COL5A1;COLGALT1;PDGFB;COL2A1;LOXL1;PLOD2;CD151;DMD;P3H2;ITGA9;P3H3;NID2;BGN;JAM2;CD44;COL1A1;ACAN;LAMC1;HTRA1;BMP2;LTBP3;TGFB3;BMP4;CAPN3;MATN4;TLL1;DAG1;ADAMTS3;NID1;SPARC;BMP7
prerank,GO_Biological_Process_2025__Natural Killer Cell Activation Involved in Immune Response (GO:0002323),-0.8324474633483474,-2.7679119166828032,0.0,0.0,0.0,16/19,5.16%,IFNA4;IFNA21;IFNA14;IFNA2;IFNB1;IFNA8;IFNA6;IFNK;IFNA1;IFNA16;IFNA17;IFNA5;IFNE;IFNW1;IFNA10;IFNA7
prerank,GO_Cellular_Component_2025__Collagen-Containing Extracellular Matrix (GO:0062023),0.5748763539371576,2.7605180965165834,0.0,0.0,0.0,209/286,31.74%,SERPINB8;THBS2;FREM1;EMILIN1;FMOD;DST;VCAN;COL4A2;SEMA3B;EFEMP1;COL15A1;COL10A1;SGPP2;FREM2;COL12A1;SFRP2;POSTN;ANXA1;COL6A6;FBN1;MMP2;WNT5B;PXDN;ANXA11;VWA2;VIT;SDC2;EMILIN2;MXRA5;ADAMTSL4;COL5A2;CFP;COL4A1;COL23A1;TIMP2;CSPG4;OTOL1;LAMA2;ADAMDEC1;LTBP1;THBS3;SFRP1;ANXA2;CTSL;TINAG;CTSF;ADAMTS8;CTSS;MMP28;MMRN2;FGA;ANGPTL7;APOE;ANGPTL1;TPSB2;TPSAB1;PLG;FBLN1;COLEC12;EMILIN3;COL6A1;ANXA5;OGN;THBS4;PCOLCE;NPNT;BCAM;COL17A1;HSPG2;ASPN;LAMB1;COL6A3;IGFBP7;CTSC;FREM3;F9;FN1;PZP;COL18A1;S100A6;S100A9;S100A8;S100A4;S100A7;S100A10;FBLN2;GH1;COL8A2;MMP9;COLQ;ANGPT4;CTHRC1;LAMA5;ABI3BP;NPPA;LOX;TNNC1;FGG;SOD3;CSTB;CTSD;SOST;CTSZ;AEBP1;VTN;THBS1;SERPINE2;MFAP4;TGM4;SERPING1;CTSB;TGFB1;PLOD3;ITIH2;TGFB2;AIFM2;DCN;FBLN5;PLAT;GREM1;FGB;SERPINB1;AMBP;COL5A1;PDGFB;ITIH5;COL2A1;LOXL1;PLOD2;CD151;P3H2;WNT2B;NID2;BGN;APOA1;ANXA6;FGF10;COL1A1;PRELP;ACAN;SERPINF2;SEMA7A;LAMC1;HTRA1;LTBP3;TGFB3;C1QC;F3;MATN4;PCSK6;LGALS9;LGALS1;TGM2;DAG1;ADAMTS3;NID1;SPARC;ANXA4;ANGPT2;LOXL4;ANGPTL6;SULF1;COL6A2;ORM2;ORM1;HAPLN1;COL4A4;FGL2;HSP90B1;CXCL12;LUM;ANGPT1;AGXT;ANXA8L1;TGFBI;CTSH;LTBP4;HPX;SSC5D;SERPINC1;GDF10;PLOD1;F7;ADAMTS9;F13A1;P3H1;EFEMP2;SPOCK1;ESM1;DPT;CILP;SERPINF1;ADIPOQ;LEFTY2;COL9A1;COL1A2;PKM;ECM1;ADAMTS10;MYOC;SDC3;TNXB;CDON;SERPINE1;LGALS3BP;VWA1;COL11A1;SMOC1;LOXL3
prerank,GO_Biological_Process_2025__B Cell Activation Involved in Immune Response (GO:0002312),-0.7370824676101912,-2.737658666360926,0.0,0.0,0.0,17/28,5.16%,SANBR;IFNA4;IFNA21;IFNA14;IFNA2;IFNB1;IFNA8;IFNA6;IFNK;IFNA1;IFNA16;IFNA17;IFNA5;IFNE;IFNW1;IFNA10;IFNA7
prerank,GO_Biological_Process_2025__T Cell Activation Involved in Immune Response (GO:0002286),-0.7634939739091005,-2.736056322829713,0.0,0.0,0.0,17/25,5.16%,MDK;IFNA4;IFNA21;IFNA14;IFNA2;IFNB1;IFNA8;IFNA6;IFNK;IFNA1;IFNA16;IFNA17;IFNA5;IFNE;IFNW1;IFNA10;IFNA7
prerank,WikiPathways_2024_Human__Glucuronidation WP698,0.8312203618084002,2.654458909332688,0.0,0.0,0.0,21/25,12.37%,UGP2;UGT2B7;UGT1A7;UGT2B11;UGT1A5;UGT1A8;UGT1A3;UGT2B15;UGT2B10;UGT2B28;UGT2B17;UGT1A4;UGT2A3;UGT1A9;UGT2B4;UGT1A6;UGT1A10;PGM5;UGT2A2;UGT2A1;UGT1A1
prerank,Reactome_2022__Degradation Of Extracellular Matrix R-HSA-1474228,0.6407989859851897,2.65230374672994,0.0,0.0,0.0,55/87,22.01%,CAPN5;COL15A1;CTSK;COL12A1;CAPN9;CAPN2;MMP2;COL23A1;TIMP2;ADAM17;MMP14;ADAM10;CTSL;CTSV;ADAMTS8;CTSS;MMP28;CAPN14;NCSTN;MMP13;MMP10;MMP12;MMP3;TPSAB1;PLG;MMP15;CAPNS2;COL17A1;HSPG2;LAMB1;CASP3;COL18A1;ADAMTS5;BMP1;CAPNS1;MMP9;CAPN1;LAMA5;ADAMTS16;CTSD;ADAM9;MMP11;CTRB2;CTRB1;CTSB;DCN;ADAM8;PRSS2;CD44;ACAN;LAMC1;HTRA1;CAPN3;TLL1;NID1
