sample	condition
BMAA_rep1	BMAA
BMAA_rep2	BMAA
BMAA_rep3	BMAA
BMAA_rep4	BMAA
BMAA_rep5	BMAA
BMAA_rep6	BMAA
BMAAals_rep1	BMAAals
BMAAals_rep2	BMAAals
BMAAals_rep3	BMAAals
BMAAals_rep4	BMAAals
BMAAals_rep5	BMAAals
BMAAals_rep6	BMAAals
BMAAeda_rep1	BMAAeda
BMAAeda_rep2	BMAAeda
BMAAeda_rep3	BMAAeda
BMAAeda_rep4	BMAAeda
BMAAeda_rep5	BMAAeda
BMAAeda_rep6	BMAAeda
BMAApure_rep1	BMAApure
BMAApure_rep2	BMAApure
BMAApure_rep3	BMAApure
BMAApure_rep4	BMAApure
BMAApure_rep5	BMAApure
BMAApure_rep6	BMAApure
CTRL_rep1	CTRL
CTRL_rep2	CTRL
CTRL_rep3	CTRL
CTRL_rep4	CTRL
CTRL_rep5	CTRL
CTRL_rep6	CTRL
