name,ortholog_ensg,stat,baseMean,pvalue,padj,LFC_raw,lfcSE_raw,LFC_shrunk,lfcSE_shrunk,description,drerio_genes
TSPAN6,ENSG00000000003,3.413325976152792,1017.8967622018118,0.0006417513005541,0.0035499332080945,0.4500007685359655,0.1318364468204609,0.3670796701280044,0.1433624982789349,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],ENSDARG00000015759
TNMD,ENSG00000000005,2.231882137546581,1041.1029960526243,0.0256227537557663,0.0724148221554884,0.3463154896215923,0.1551674632793482,0.1147322969497385,0.1309580103863066,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757],ENSDARG00000052615
DPM1,ENSG00000000419,-0.3684027001139909,319.1711165225071,0.7125729844257083,0.8184987759989043,-0.0479331617384838,0.1301107774825004,-0.1155409797695057,0.1178995113540533,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",ENSDARG00000057011
SCYL3,ENSG00000000457,-0.997226565486242,446.4157257789882,0.3186545490019808,0.4795993082872993,-0.0912738088242177,0.0915276547809506,-0.1147194769293801,0.0913591706206495,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],ENSDARG00000027046
FIRRM,ENSG00000000460,-1.824864169579413,143.82629901998237,0.0680215293889721,0.1544379230462642,-0.3539213111564668,0.1939439203510895,-0.0477105081367029,0.1408089100191158,FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565],ENSDARG00000042120
FGR,ENSG00000000938,4.216048448079582,264.6181264070744,2.486203695780685e-05,0.0002346508343795,0.5704839038099276,0.1353124639897779,0.2773548926735116,0.1368780167787456,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",ENSDARG00000004378
FUCA2,ENSG00000001036,3.673581664129326,1667.934804653506,0.000239174189711,0.0015720613349736,0.4148831550602004,0.1129369626137144,0.375818456452216,0.1239193121984654,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],ENSDARG00000044073
GCLC,ENSG00000001084,4.468142983065774,1007.3168166122392,7.890156226754443e-06,9.041293277791733e-05,0.3120516405391375,0.0698392244209307,0.3814955247723108,0.0786754905941692,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],ENSDARG00000013095
NFYA,ENSG00000001167,-2.0933467850062764,1365.1342109330546,0.0363182090971785,0.0955344206458623,-0.2313464358934003,0.1105151031594159,-0.1585901374802766,0.1075146196163252,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],ENSDARG00000042004; ENSDARG00000001621
STPG1,ENSG00000001460,0.9119433614205752,3.7897450592982014,0.3617985337887872,0.5231263146961813,0.7805909352953665,0.8559642718155268,0.0397859743587739,0.179025891105857,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],ENSDARG00000103765
NIPAL3,ENSG00000001461,3.810292996457198,564.5880746358627,0.0001388021920831,0.0009940202588759,0.5532993943159084,0.1452117710712443,0.4472934672239819,0.1635260439463753,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],ENSDARG00000021147
LAS1L,ENSG00000001497,-1.8060436192664389,565.9527854017231,0.070911526446905,0.1594136294236296,-0.139905496419111,0.077465181309373,-0.0059118374848943,0.0792005205706044,LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726],ENSDARG00000062457
ENPP4,ENSG00000001561,2.986399911464592,49.440478095053365,0.0028228322582403,0.0121731134908653,0.8946007604523277,0.2995582597688991,0.2325064832790165,0.2067345538259535,ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359],ENSDARG00000006877
SEMA3F,ENSG00000001617,-3.964813122828411,907.5427065764802,7.34534694374442e-05,0.0005828733911283,-0.2769513672715782,0.06985231300738,-0.2153170905400163,0.0750068020649479,semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728],ENSDARG00000011163; ENSDARG00000055373
CFTR,ENSG00000001626,-0.7332209989252931,111.7915824384596,0.4634236497771439,0.6192893094440901,-0.1739397846147797,0.2372269545876743,0.2128079314942917,0.1833600230352755,CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884],ENSDARG00000041107
