gene_id,baseMean,LFC_shrunk,lfcSE,stat,pvalue,padj,LFC_raw,ortholog_ensg,name,description
ENSDARG00000009657,746.4663724798804,-0.155970371233467,0.0810776849052091,-2.005456268517116,0.044914291428263,0.1120488505427799,-0.1699026448628209,ENSG00000111790,FGFR1OP2,FGFR1 oncogene partner 2 [Source:HGNC Symbol;Acc:HGNC:23098]
ENSDARG00000096156,2.1116726993193016,-0.0575528567010961,0.2173570142880741,-0.696452751638116,0.4861453369343178,,-0.552873736979723,ENSG00000177675,CD163L1,CD163 molecule like 1 [Source:HGNC Symbol;Acc:HGNC:30375]
ENSDARG00000076160,1.96224860733824,0.0085368672675555,0.2079336767871712,0.112848046053753,0.9101510263540294,,0.097689372696738,ENSG00000165671,NSD1,nuclear receptor binding SET domain protein 1 [Source:HGNC Symbol;Acc:HGNC:14234]
ENSDARG00000117163,27.504463092889694,-0.0251633256589639,0.1638215039259467,-0.1900577777219761,0.8492638554660012,0.908669316869777,-0.0473043018135886,N/A,N/A,N/A
ENSDARG00000076014,62.28631122969329,0.4676011574481038,0.2025946069906477,2.916850026737802,0.0035358574078593,0.0145714026196753,0.5659529954052088,ENSG00000082805,ERC1,ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:HGNC:17072]
ENSDARG00000098876,15.556741411692755,0.6061820322854942,0.436752845365045,2.5553156410047224,0.010609154465187,0.0355889455783558,0.9014573668905492,N/A,N/A,N/A
ENSDARG00000103471,31.848680746519925,0.16364352984021,0.2184853499975411,1.1514243668152409,0.2495576941147103,0.4048676259251998,0.3994200554672203,N/A,N/A,N/A
ENSDARG00000093665,6.844015543707411,0.0179242627997195,0.1983407479560786,0.1617476890896483,0.871504548509475,0.922691152092332,0.0841591745358181,N/A,N/A,N/A
ENSDARG00000098144,0.9610826619953932,-0.0426522843135692,0.2235009645943077,-0.7416931020434957,0.4582733000922545,,-0.9850984638235089,ENSG00000146757; ENSG00000197020; ENSG00000197134; ENSG00000188171; ENSG00000183850; ENSG00000178150; ENSG00000196705; ENSG00000197372; ENSG00000173041; ENSG00000237440; ENSG00000256771; ENSG00000197360; ENSG00000268696; ENSG00000198039; ENSG00000185177; ENSG00000160229; ENSG00000118620,ZNF626; ZNF273; ZNF723; ZNF675; ZNF257; ZNF431; ZNF92; ZNF730; ZNF430; ZNF114; ZNF98; ZNF66; ZNF479; ZNF737; ZNF253; ZNF680; ZNF100,zinc finger protein 98 [Source:HGNC Symbol;Acc:HGNC:13174]; zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880]; zinc finger protein 723 [Source:HGNC Symbol;Acc:HGNC:32286]; zinc finger protein 92 [Source:HGNC Symbol;Acc:HGNC:13168]; zinc finger protein 253 [Source:HGNC Symbol;Acc:HGNC:13497]; zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]; zinc finger protein 257 [Source:HGNC Symbol;Acc:HGNC:13498]; zinc finger protein 479 [Source:HGNC Symbol;Acc:HGNC:23258]; zinc finger protein 66 [Source:HGNC Symbol;Acc:HGNC:13135]; zinc finger protein 431 [Source:HGNC Symbol;Acc:HGNC:20809]; zinc finger protein 626 [Source:HGNC Symbol;Acc:HGNC:30461]; zinc finger protein 680 [Source:HGNC Symbol;Acc:HGNC:26897]; zinc finger protein 675 [Source:HGNC Symbol;Acc:HGNC:30768]; zinc finger protein 737 [Source:HGNC Symbol;Acc:HGNC:32468]; zinc finger protein 114 [Source:HGNC Symbol;Acc:HGNC:12894]; zinc finger protein 273 [Source:HGNC Symbol;Acc:HGNC:13067]; zinc finger protein 730 [Source:HGNC Symbol;Acc:HGNC:32470]
ENSDARG00000093658,684.8700636684713,0.222118220360414,0.1227306669476573,2.006374188247032,0.0448163400957412,0.1118423387139343,0.2613983653615482,ENSG00000064115,TM7SF3,transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]
ENSDARG00000095324,9.902169952701271,0.1087561746853809,0.2035927370206315,0.8152260437297012,0.4149429328396236,0.5766839657074506,0.3097290550108483,ENSG00000130035,GALNT8,polypeptide N-acetylgalactosaminyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4130]
ENSDARG00000098510,5.366057407474873,0.0121422966907128,0.1980010698014339,0.1102126401816596,0.9122407379291808,0.9485723608067536,0.0562397697233898,N/A,N/A,N/A
ENSDARG00000021336,4.76781840641466,0.1820005008206499,0.2563311879009127,1.4263372802755956,0.1537710084403647,0.2846056607527845,0.7420540092219209,N/A,N/A,N/A
ENSDARG00000094646,1831.1279860001812,-0.0698107778241661,0.0597798360395299,-1.1829667234430796,0.2368223358066897,0.3906475242476491,-0.0734472674249234,ENSG00000127334,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093]
ENSDARG00000021595,1818.8269618931968,-0.5799457630049875,0.1028033174561352,-5.947206638931929,2.72756997491667e-09,1.0037712024331753e-07,-0.6049916041791795,ENSG00000187416,LHFPL3,LHFPL tetraspan subfamily member 3 [Source:HGNC Symbol;Acc:HGNC:6589]
