name,ortholog_ensg,description,stat,baseMean,LFC_raw,lfcSE,LFC_shrunk,pvalue,padj,dmelanogaster_genes
DPM1,ENSG00000000419,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",-0.8037617313245321,492.755757871874,-0.0387872358319583,0.048257131834381,-0.0262679404312303,0.421534594883838,0.6843014153442744,FBgn0032799
SCYL3,ENSG00000000457,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],2.5940097298714435,623.0200792133741,0.1094696673991721,0.0422009471046191,0.0905803798171695,0.0094863802230384,0.0670004892534711,FBgn0027507
GCLC,ENSG00000001084,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],1.1090717972985904,2653.617012703565,0.0572226288189044,0.0515950626084658,0.0379503245963062,0.2673992102439,0.5431563418146846,FBgn0040319
NFYA,ENSG00000001167,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],-0.6123481548819948,283.58803663234767,-0.0343005087369741,0.056014717221748,-0.020452505572675,0.5403074357454094,0.7673152427967002,FBgn0035993
NIPAL3,ENSG00000001461,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],-0.7711722544578302,771.8177284810473,-0.0362669043585377,0.0470282795431159,-0.0244381209630235,0.4406048375351707,0.6972457535552607,FBgn0032451
LAS1L,ENSG00000001497,LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726],0.8242394793893432,182.0307855216432,0.0600311499381971,0.0728321700662441,0.0286639643640081,0.4098034988639352,0.676494264430088,FBgn0052075
CFTR,ENSG00000001626,CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884],-3.6981794326613153,1031.2349983357512,-0.1498944384215721,0.0405319539386718,-0.1342232726167485,0.0002171513692881,0.0043927060605129,FBgn0263316; FBgn0039645; FBgn0051792; FBgn0038740; FBgn0039644; FBgn0032908; FBgn0032026; FBgn0034612; FBgn0010549; FBgn0032456
BAD,ENSG00000002330,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936],-0.3206919037689658,5.077145628611309,-0.1381625313084324,0.4308263778557006,-0.0032225061721067,0.748443883356872,,FBgn0039752
LAP3,ENSG00000002549,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],2.0554825034192463,3.738971812261881,1.871629747086698,0.9105549397639175,0.0091085653343463,0.0398324239146998,0.4292648186924006,FBgn0259795; FBgn0045770; FBgn0052351; FBgn0052064; FBgn0035915; FBgn0033868; FBgn0033860; FBgn0034132
WNT16,ENSG00000002745,Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267],1.276829054900402,154.193814840039,0.1056737675974239,0.0827626589415815,0.0473436566321005,0.2016626053967917,0.4661060865614529,FBgn0010453
SNX11,ENSG00000002919,sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975],-3.9733098283843646,1698.5483373732154,-0.1726784621204878,0.0434596015862932,-0.1548418529466726,7.088075301728729e-05,0.0018521529404621,FBgn0032005; FBgn0031534
