# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/home/gsdeol/dev/mouse-analysis/data/reference/mm9/genes.gtf" "-o" "/home/gsdeol/dev/mouse-analysis/results/counts/featureCounts_raw.txt" "-F" "GTF" "-t" "exon" "-g" "gene_id" "-s" "2" "-T" "8" "/home/gsdeol/dev/mouse-analysis/results/align/H23-142_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-143_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-144_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-145_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-146_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-147_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-148_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-149_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-150_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-151_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-152_Aligned.sortedByCoord.out.bam" "/home/gsdeol/dev/mouse-analysis/results/align/H23-153_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/gsdeol/dev/mouse-analysis/results/align/H23-142_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-143_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-144_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-145_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-146_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-147_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-148_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-149_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-150_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-151_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-152_Aligned.sortedByCoord.out.bam	/home/gsdeol/dev/mouse-analysis/results/align/H23-153_Aligned.sortedByCoord.out.bam
ENSMUSG00000000702	NT_166433;NT_166433;NT_166433;NT_166433	11955;16677;17745;18309	12166;16841;17814;18898	+;+;+;+	1037	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078423	NT_166433;NT_166433;NT_166433;NT_166433	28587;31129;32196;51920	28798;31299;32270;52512	+;+;+;+	1051	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078424	NT_166433;NT_166433;NT_166433;NT_166433;NT_166433;NT_166433;NT_166433;NT_166433	47745;47928;50322;50322;51351;51351;51920;51920	47845;48129;50492;50492;51425;51425;52514;52514	+;+;+;+;+;+;+;+	1144	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071964	NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402;NT_166402	12543;14651;14882;15022;15280;15976;16289;16974;19278;19472;19729;20008;20201;20592;22596;22971;25089;25405;26154;26334;28005;35798;36010;36754;36964;37217	12644;14767;14937;15190;15414;16082;16379;17106;19375;19618;19905;20112;20281;20747;22761;23167;25153;25600;26228;26526;28093;35890;36201;36855;37064;38054	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3981	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093774	18	3026901	3027882	-	982	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093444	18	3080778	3081476	-	699	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091539	18	3122455	3123465	-	1011	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000063889	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	3266046;3266352;3266354;3266354;3266354;3266354;3266354;3266354;3266955;3266961;3267259;3267262;3267388;3267421;3267512;3267532;3267544;3267556;3267570;3267573;3267583;3267583;3267583;3267583;3267583;3267586;3267586;3267586;3267586;3267631;3267837;3267843;3267983;3267983;3267983;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273420;3273607;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3276692;3280947;3280947;3280947;3281686;3281686;3281686;3281686;3283896;3287630;3287902;3287902;3287902;3287902;3287902;3287902;3287902;3287902;3287902;3287902;3287902;3287902;3287902;3287902;3287902;3288053;3294182;3294480;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295038;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3295320;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299160;3299448;3299448;3299448;3299448;3299448;3299448;3309644;3309644;3309644;3309644;3309644;3309853;3318698;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3325359;3327492;3327492;3327492;3327492;3327492;3327492;3327492;3327492;3327492;3327492;3327492;3327492;3327492;3327492;3327492;3336959;3337378;3337378;3337378;3337378;3337378;3337378;3337378;3337378;3337378;3337378;3337378	3267730;3267730;3268127;3268127;3267730;3268127;3268127;3268127;3267730;3268127;3268127;3267730;3268127;3268127;3267730;3268127;3268127;3267730;3267730;3268127;3268127;3267730;3268127;3268127;3268127;3267730;3267730;3267730;3267730;3268127;3268127;3268127;3268127;3268127;3268127;3273601;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273576;3273623;3276727;3276727;3276727;3276727;3276727;3276727;3276727;3276727;3276727;3276773;3276727;3276727;3276727;3276727;3276727;3276727;3276727;3276727;3276727;3281099;3281076;3281130;3281736;3281767;3281745;3281767;3284071;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3288090;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295180;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3295414;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299306;3299552;3299539;3299554;3299450;3299554;3299557;3309898;3309721;3309721;3309856;3309753;3309985;3318987;3325476;3325476;3325476;3325472;3325472;3325472;3325476;3325476;3325476;3325476;3325476;3325472;3325476;3325472;3325476;3325476;3325476;3325476;3325476;3325476;3325476;3325476;3325476;3327589;3327505;3327505;3327589;3327505;3327505;3327505;3327589;3327589;3327589;3327589;3327589;3327589;3327589;3327589;3337061;3337572;3337587;3337531;3337746;3337511;3337587;3337486;3337587;3337587;3337587;3337677	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5937	288	307	273	272	434	296	229	218	245	239	291	242
ENSMUSG00000091488	18;18	3336414;3365925	3337176;3366861	+;+	1700	5	3	2	6	11	3	2	4	5	1	3	1
ENSMUSG00000024231	18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18	3382986;3383223;3383223;3383230;3383255;3399844;3399844;3399844;3399844;3399844;3405683;3405683;3405683;3405683;3405683;3414128;3414128;3414128;3414128;3414172;3417533;3417533;3417533;3417533;3418562;3418562;3418562;3418562;3419345;3419345;3419345;3419345;3419345;3419530;3419530;3419530;3419530;3419530;3421201;3421201;3421201;3421201;3421201;3423467;3423467;3423467;3423467;3423467;3424448;3424448;3424448;3424448;3424448;3424448;3425510;3425510;3425510;3425510;3425510;3425510;3426093;3426093;3426093;3426093;3426093;3426093;3426315;3426315;3426315;3426315;3426315;3426756;3426756;3426756;3426756;3426756;3426805;3427161;3427161;3427161;3427161;3427161;3427161;3429568;3429568;3429568;3429568;3429568;3430910;3430910;3430910;3430910;3430910;3431482;3431482;3431482;3431482;3431482;3433882;3433992;3433992;3434842;3434842;3434842;3434842;3434842	3383170;3383395;3383395;3383395;3383395;3399984;3399984;3399984;3399984;3399984;3405785;3405785;3405785;3405785;3405785;3414222;3414222;3414222;3414222;3414222;3417638;3417638;3417638;3417638;3418644;3418644;3418644;3418644;3419441;3419441;3419441;3419441;3419441;3419640;3419640;3419640;3419640;3419640;3421363;3421363;3421363;3421363;3421363;3423591;3423591;3423591;3423591;3423591;3424555;3424555;3424555;3424555;3424555;3424555;3425569;3425569;3425569;3425569;3425569;3425569;3426221;3426221;3426221;3426221;3426221;3426221;3426401;3426401;3426401;3426401;3426401;3426908;3426908;3426908;3426908;3426908;3426908;3427246;3427238;3427238;3427238;3427238;3427238;3429634;3429634;3429634;3429634;3429634;3431112;3431112;3431112;3431112;3431112;3431529;3431583;3431583;3431583;3431583;3434108;3434108;3434108;3435011;3436375;3436698;3435383;3436372	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4461	977	975	828	999	1030	923	851	842	980	946	976	885
